*Wii2のきせかえ一覧 [#yfcd60d7]
[[Wii2の収録曲]]

**リスト [#e4059176]
|ページ|名前|獲得条件|h
|1/7|わだどん|-|
|~|ケーキ|ストーリー:ケーキだドン！|
|~|ハリセンボン|ストーリー:ハリセンボンだドン！|
|~|はちまき|ストーリー:対決！メカドン|
|2/7|ちびどん|ストーリー:対決！アンチモン|
|~|ヘビメタ|ストーリー:対決！イットリウム|
|~|よこづな|ストーリー:ごっつっあんだドン！|
|~|にくまん|ストーリー:対決！ガリウム|
|3/7|カエル|ストーリー:とんでカエルだドン！|
|~|救急車|ストーリー:ドラボットやられた！|
|~|よろいカブト|ストーリー:対決！タンタル|
|~|消防車|ストーリー:対決！ゲルマ|
|4/7|カーニバル|ストーリー:カーニバルだドン！|
|~|特急電車|ストーリー:タングステン|
|~|戦車|ストーリー:武装でぶっそうだドン！|
|~|ヘッドホン|ストーリー:対決！テルル|
|5/7|金のシャチホコ|ストーリー:対決！ワルルー|
|~|トラ|演奏回数が50回|
|~|ハチ|演奏回数が100回|
|~|サイコロ|演奏回数が150回|
|6/7|キラキラ宝石|演奏回数が200回|
|~|ブーケ|アルミゲージ:4200|
|~|シーサー|アルミゲージ:5900|
|~|えんぴつ|~|
|7/7|ねこに小判|すべてのボスを甘口でクリアした|
