*隠し要素解禁条件 [#title]
[[PSPDXの収録曲]]
-一定数の条件を達成すると新しい[[称号>段位・称号の一覧#pspdx]]が手に入る。

**やり込み帳 [#SP]
|CENTER:||||c
|~No.|~お題|~条件|~ご褒美|h
|1|初めてのクリア|演奏ゲームを初めてクリア||
|2|かんたんDE王冠15|かんたんで15曲以上クリア||
|3|かんたんDE王冠30|かんたんで30曲以上クリア|演奏オプション：あべこべ|
|4|かんたんDE王冠70|かんたんで70曲以上クリア||
|5|ふつうDE王冠15|ふつうで15曲以上クリア||
|6|ふつうDE王冠30|ふつうで30曲以上クリア|演奏オプション：ドロン|
|7|ふつうDE王冠70|ふつうで70曲以上クリア||
|8|むずかしいDE王冠15|むずかしいで15曲以上クリア|難易度：おに|
|9|むずかしいDE王冠30|むずかしいで30曲以上クリア|演奏オプション：でたらめ|
|10|むずかしいDE王冠70|むずかしいで70曲以上クリア||
|11|おにDE王冠15|おにで15曲以上クリア|演奏オプション：さんばい|
|12|おにDE王冠30|おにで30曲以上クリア|演奏オプション：よんばい|
|13|おにDE王冠70|おにで70曲以上クリア||
|14|太鼓カウンター10000||[[練習曲Op.10-4（裏譜面）>難易度表/おに/練習曲Op.10-4(裏譜面)]]|
|15|太鼓カウンター20000||[[Black Rose Apostle（裏譜面）>難易度表/おに/Black Rose Apostle(裏譜面)]]|
|16|太鼓カウンター30000||[[初音ミクの激唱（裏譜面）>難易度表/おに/初音ミクの激唱(裏譜面)]]|
|17|太鼓カウンター40000||[[Rotter Tarmination（裏譜面）>難易度表/おに/Rotter Tarmination(裏譜面)]]|
|18|太鼓カウンター50000||[[White Rose Insanity（裏譜面）>難易度表/おに/White Rose Insanity(裏譜面)]]|
|19|太鼓カウンター60000||[[太陽もヤッパッパー（裏譜面）>難易度表/おに/太陽もヤッパッパー(裏譜面)]]|
|20|太鼓カウンター70000||[[スポーツダイジェスドン（裏譜面）>難易度表/おに/スポーツダイジェスドン(裏譜面)]]|
|21|太鼓カウンター76500||[[リンダは今日も絶好調（裏譜面）>難易度表/おに/リンダは今日も絶好調(裏譜面)]]|
|22|太鼓カウンター80000||[[DON'T CUT（裏譜面）>難易度表/おに/DON'T CUT(裏譜面)]]|
|23|太鼓カウンター90000||[[らんぶる乱舞（裏譜面）>難易度表/おに/らんぶる乱舞(裏譜面)]]|
|24|太鼓カウンター99999||[[またさいたま2000>難易度表/おに/またさいたま2000]]|
|25|金王冠10|演奏ゲームで金の王冠を10個以上|演奏オプション：かんぺき|
|26|金王冠25|演奏ゲームで金の王冠を25個以上|音色：つづみ|
|27|金王冠50|演奏ゲームで金の王冠を50個以上|音色：コンガ|
|28|金王冠75|演奏ゲームで金の王冠を75個以上|音色：8ビット太鼓|
|29|金王冠100|演奏ゲームで金の王冠を100個以上|音色：豪華な太鼓|
|30|ドンだフルコンボ|演奏ゲームで全良を達成した|音色：銃|
|31|ひねくれフルコンボ|演奏ゲームで全可を達成した|音色：手裏剣|
|32|コンボ100|演奏ゲームで最大コンボ数が100回以上||
|33|コンボ200|演奏ゲームで最大コンボ数が200回以上||
|34|コンボ400|演奏ゲームで最大コンボ数が400回以上||
|35|コンボ600|演奏ゲームで最大コンボ数が600回以上||
|36|連打マスター|演奏ゲームで連打数が100回以上|音色：クイズ|
|37|スコアマスター|演奏ゲームでスコアが500000点以上|音色：刀|
|38|和太鼓演舞5|和太鼓演舞で5課題以上クリア|音色：カメラマン|
|39|和太鼓演舞10|和太鼓演舞で10課題以上クリア|音色：もくぎょ|
|40|和太鼓演舞20|和太鼓演舞で20課題以上クリア|音色：すず|
|41|和太鼓演舞30|和太鼓演舞で30課題以上クリア|音色：くしゃみ|
|42|和太鼓演舞40|和太鼓演舞で40課題以上クリア|音色：手拍子|
|43|和太鼓演舞50|和太鼓演舞で50課題クリア|音色：ラップ|
|44|道場制覇10|おみこしバトルで陣地が10以上になった||
