[[難易度表/おに/夜咄ディセイブ]]

//-作成 --  &new{2013-05-09 (木) 19:25:19};
//-↑おぉー --  &new{2013-05-09 (木) 20:13:42};
//-２↑乙 --  &new{2013-05-09 (木) 22:26:12};
//-曲の読み方は？ --  &new{2013-05-10 (金) 20:46:25};
//-↑自分で調べられるだろ。 --  &new{2013-05-10 (金) 20:50:54};
//-譜面はよ --  &new{2013-05-10 (金) 21:30:17};
//-↑3 よばなしディセイブ。 --  &new{2013-05-11 (土) 01:12:02};
//-次郎でBPM二百数十くらいにしてたがその半分だったのか？ --  &new{2013-05-12 (日) 01:31:10};
//-まだかしら --  &new{2013-05-27 (月) 18:33:49};
//-チルドレンレコードは短くて結構残念だったけど、これは結構長かったから超やりたい --  &new{2013-05-27 (月) 19:26:48};
//-↑長いのは待ち時間が --  &new{2013-06-06 (木) 21:33:10};
//-千本桜、十面相、ディセイブ、リセットボタン、で待ち時間長くなるね。 --  &new{2013-06-07 (金) 22:04:38};
//-ヴァーナスとか使って来るかも --  &new{2013-06-11 (火) 22:49:21};
-[[曲の詳細>http://dic.nicovideo.jp/v/sm20116702]]。 --  &new{2013-06-11 (火) 23:13:07};
//-明日が楽しみ --  &new{2013-06-18 (火) 07:21:54};
//-一番サビで間奏行きですか？（千本桜風） --  &new{2013-06-18 (火) 16:15:52};
//-曲長くなりそう・・・ --  &new{2013-06-18 (火) 19:24:53};
//-今考えると、花オトやわんにゃーやイミテが空気なような気がしてなら無い。（ここで書くようなことでもないが。）明日から、さらに空気化が進みそう。 --  &new{2013-06-18 (火) 20:08:01};
//-いよいよあしたでっせ！ --  &new{2013-06-18 (火) 20:57:19};
//-↑そうだな、たのしみだ --  &new{2013-06-18 (火) 22:00:05};
//-BPM2倍で来るのか、ソフランで来るか・・・ --  &new{2013-06-18 (火) 23:28:13};
-強化版負け犬みたいな感じだった --  &new{2013-06-19 (水) 08:16:24};
-星9、703コンボでした。 --  &new{2013-06-19 (水) 09:06:31};
-初項460・公差118でした。 --  &new{2013-06-19 (水) 10:10:26};
//-なんでもうキャプチャ上がってるん --  &new{2013-06-19 (水) 11:55:20};
//-そら撮った人がいるからよ --  &new{2013-06-19 (水) 13:26:03};
-間奏のパーカッション部分も入れてくれて嬉しい --  &new{2013-06-19 (水) 13:52:40};
//-★×9にしては易しそうじゃない？？ --  &new{2013-06-19 (水) 15:29:08};
//-まあ強くはないかな --  &new{2013-06-19 (水) 15:48:03};
//-但し全良は(ry --  &new{2013-06-19 (水) 16:19:59};
//-あ、まあ全良は難しそうだな(付点8分とかあるみたいだし) --  &new{2013-06-19 (水) 16:33:50};
//-負け犬を簡単にした感じでした --  &new{2013-06-19 (水) 16:35:52};
//-うわ〜俺も早くやりたいww --  &new{2013-06-19 (水) 16:51:39};
-１クレフル(クリア)でクリスタル系称号もらえるのかな？ --  &new{2013-06-19 (水) 17:26:20};
-貰えたよ --  &new{2013-06-19 (水) 19:36:45};
-あべこべかけたほうがやりやすかった --  &new{2013-06-19 (水) 19:40:12};
-譜面作ろうか? --  &new{2013-06-19 (水) 19:59:43};
-↑うん --  &new{2013-06-19 (水) 20:01:44};
-↑7これが9だからＭＳＳや負け犬も残留か --  &new{2013-06-19 (水) 20:13:15};
-ただいま譜面作成中。中盤が物凄いリズム難。次郎に起こして頑張っています。 --  &new{2013-06-19 (水) 20:43:40};
-星別難易度表、太鼓ギネスの遅い曲を更新しました --  &new{2013-06-19 (水) 20:48:59};
-典型的なリズム難譜面 --  &new{2013-06-19 (水) 21:14:19};
//-やりて〜…！めっちゃ難そうだけどw --  &new{2013-06-19 (水) 21:32:14};
-一番きついだろう33があべこべだと簡単に繋がるな --  &new{2013-06-19 (水) 22:14:12};
-49は分かるけど45小節目のズレ方どうなってんの？ --  &new{2013-06-19 (水) 22:44:38};
-☆9上位・・・かな？ --  &new{2013-06-19 (水) 23:11:07};
-下の45小節絶対間違ってるだろ --  &new{2013-06-19 (水) 23:38:09};
-中盤成仏っぽくて楽しい　まあでも☆9としては並かな --  &new{2013-06-19 (水) 23:42:48};
-連打けっこうあるのね --  &new{2013-06-19 (水) 23:49:02};
-随分安直に加速使うようになったなあ --  &new{2013-06-19 (水) 23:50:53};
-↑4 修正しました。 --  &new{2013-06-20 (木) 00:23:47};
-↑2 逆に加速しないと疾走感なくなると思う --  &new{2013-06-20 (木) 02:05:27};
-初日全良者たったの二人www --  &new{2013-06-20 (木) 11:40:45};
-倍速にした場合、BPM390はかなり見切りづらいと思うんだが… --  &new{2013-06-20 (木) 12:54:19};
-↑裏ロッテルよりは遅いな --  &new{2013-06-20 (木) 13:49:03};
-これまさか48分ズレある？ --  &new{2013-06-20 (木) 15:42:11};
//-初日フルコンボできた！ --  &new{2013-06-20 (木) 16:21:56};
//-↑ ない --  &new{2013-06-20 (木) 19:41:18};
-↑2　49小節にあるよ --  &new{2013-06-20 (木) 19:57:42};
//-36分ないんだね --  &new{2013-06-20 (木) 21:04:26};
//-36分・・・？32分じゃなくて？ --  &new{2013-06-20 (木) 21:30:54};
//-↑3 ないよ --  &new{2013-06-21 (金) 13:05:53};
-↑　2つ目のｶｶｯがよく見たら48分ズレだよ --  &new{2013-06-21 (金) 15:25:56};
//-↑ここの譜面の話か --  &new{2013-06-21 (金) 15:58:49};
-２１小節にわすれなぐさと同じやつがいる --  &new{2013-06-21 (金) 18:07:23};
//-詳細、BPM130のHS3が充分見切れる速さとかなんの冗談だよ --  &new{2013-06-21 (金) 19:04:43};
-一番の難所は33小節だよなやっぱり --  &new{2013-06-21 (金) 19:28:46};
//-初見で魂いかないっていうww --  &new{2013-06-21 (金) 22:17:20};
//-簡単やなあ --  &new{2013-06-21 (金) 23:53:26};
//-初見でフルコンボできたけど譜面見返してみたらまぐれでしかなかった… --  &new{2013-06-22 (土) 00:11:24};
//-六兆年と一夜物語も入ってほしかった。 --  &new{2013-06-22 (土) 09:54:34};
-６９小節目から７１小節目の部分がモーニング娘のLOVEマシーンの一部と似ている。 --  &new{2013-06-22 (土) 15:54:34};
//-遅くて打ちずらい --  &new{2013-06-22 (土) 19:52:56};
//-↑3　どこにHS3がある？？ --  &new{2013-06-23 (日) 04:27:59};
//-↑　バックアップに「ばいそくを使用しても十分見切れる速さとなっている」と書いてある --  &new{2013-06-23 (日) 07:54:19};
-高速ゴーゴーの後の24分低速地帯はドラム譜面なのか？ --  &new{2013-06-23 (日) 08:12:58};
-エトウって感じじゃないね。エトウだったらBPM260にしてそう --  &new{2013-06-23 (日) 09:07:24};
//-譜面が曲に合ってていいね。 --  &new{2013-06-23 (日) 09:09:41};
//-精度取りずらい --  &new{2013-06-24 (月) 02:28:45};
//-↑6 HS1.5にばいそくオプションでHS3。 --  &new{2013-06-24 (月) 16:08:18};
//-思ったんだが、実質BPMが500を越えなければ肉眼で見て叩くことも可能だと思うんだけど…。 --  &new{2013-06-24 (月) 16:15:37};
//-精度きついな --  &new{2013-06-24 (月) 17:59:53};
//-リズムが気持ち悪い --  &new{2013-06-24 (月) 18:53:32};
-十連２４分って他にある？ --  &new{2013-06-24 (月) 20:43:24};
-↑ 太鼓の達人・愛のテーマ --  &new{2013-06-24 (月) 21:00:10};
-↑2　Amanda --  &new{2013-06-24 (月) 21:53:44};
-なんか逆詐称気味な・・・・ --  &new{2013-06-24 (月) 23:30:22};
-↑5　充分見切れる速度って事はないだろ --  &new{2013-06-25 (火) 18:26:30};
//-倍速かけたら早いとこ見えるかな？ --  &new{2013-06-25 (火) 19:32:45};
//-↑俺は見切れたが、やってみなよ。（裏イミテを倍速でやってる人間だから参考にはならないかもしれないが。） --  &new{2013-06-25 (火) 19:54:17};
