[[難易度表/ふつう/テルミン狂想曲]]

-Wii3は再びデフレしたと考えていいのか？ --  &new{2010-12-05 (日) 11:01:41};
-ホーンテッドハウスでは、オジャマがあるから★×6でいいと思うけど、普通の演奏で★×6なら簡単だと思う。 --  &new{2010-12-05 (日) 12:31:40};
-風船と芋の数→12-33-8-6-3-3-8-8-44-8-8-22 --  &new{2011-04-18 (月) 18:56:52};
-風船音符やイモ音符が多いから、1打あたりの得点は低めだね。 --  &new{2012-06-11 (月) 20:56:26};
-詐称気味 --  &new{2012-08-16 (木) 17:48:14};
-↑逆詐称の間違いでは？ --  &new{2012-08-16 (木) 17:52:09};
-なんで降格しなかったんだろう。 --  &new{2013-08-02 (金) 21:32:46};
-↑これが、追加日そんなに変わらないEternal bondと同じ難易度なんて・・・ --  &new{2013-08-03 (土) 16:45:56};
-どんだけ動画あんねん --  &new{2013-08-03 (土) 16:48:53};
-↑1こ目は1人プレイ,2個目はキャプチャだけど微妙に音ズレしてる,3個目はそれの補完ついでにnicozonのオート --  &new{2013-08-03 (土) 17:02:40};
-優先度的には3つ目だよな --  &new{2013-08-03 (土) 22:42:44};
-だけどnicozonだからガラケのひとが見れない。&br;かといって1人プレイは直、つべはズレと音源の多重再生が気になる --  &new{2013-08-03 (土) 22:45:51};
-この速度だと★×4じゃない？ --  &new{2013-10-19 (土) 22:17:35};
-クリアじゃなくてフルコンボもかなり逆詐称 --  &new{2013-10-19 (土) 22:43:22};
-キャプチャ動画を追加。（うp主ではありません） --  &new{2013-11-07 (木) 22:05:35};
-真打では二人プレイによって天井点を上げることができないというのは意外 --  &new{2018-08-30 (木) 15:25:13};
-二人プレイにして1P側はくす玉独占・全良しましたが、674,610点にしかなりませんでした。 --  &new{2019-03-27 (水) 15:34:01};
-AC16配点追加。 --  &new{2021-02-18 (木) 21:12:08};
