[[難易度表/おに/アローラ!!]]

-3打が多くてフルコンも全良もやりやすくて楽しい譜面 7下位か中位あたり --  &new{2017-03-15 (水) 22:21:40};
-7にしては簡単じゃない? --  &new{2017-03-15 (水) 22:32:23};
-ピカチュウ歌ってなくね？ --  &new{2017-03-15 (水) 22:48:21};
-↑アニメでは歌ってるけどこっちでは歌ってないね --  &new{2017-03-15 (水) 22:51:35};
-↑ あと、最初のセリフが消えてる --  &new{2017-03-15 (水) 22:53:15};
-↑3　あいやいやの辺りはピカチュウパートらしき声は聞こえるぞ --  &new{2017-03-15 (水) 23:59:39};
-音符密度追加。 --  &new{2017-03-16 (木) 00:01:23};
-配点は初項680点、公差190点 --  &new{2017-03-16 (木) 10:18:06};
-カバーじゃ再現難しいからセリフ全部オミットされたんかな --  &new{2017-03-16 (木) 16:55:51};
-何気にアニポケのおに★7って初じゃね？ --  &new{2017-03-17 (金) 23:27:02};
-AC収録がね --  &new{2017-03-17 (金) 23:27:23};
-CSに移植されるタイミングを逃した感じがするな… --  &new{2018-01-05 (金) 00:12:46};
-いや、[[OP2>難易度表/おに/めざせポケモンマスター -20th Anniversary-]]が期間限定だっただけで今はこのOPだよ --  &new{2018-01-05 (金) 00:22:04};
-あ、そうだったんだ。じゃあスイッチあたりに入るかな？ --  &new{2018-01-05 (金) 00:45:44};
-正直コレよりXYZやってる子の方が多い --  &new{2018-01-05 (金) 00:53:30};
-アニメでのＯＰだった時の情報を追加。 --  &new{2018-01-05 (金) 20:02:05};
-本曲のOP期間が終了したので追記 --  &new{2018-02-06 (火) 22:11:15};
-こっちも家庭用不作の影響がモロに出てるな --  &new{2018-02-06 (火) 22:19:26};
-↑9AGのop1が☆7でした --  &new{2018-02-07 (水) 16:36:02};
//-やっと家庭用（NS）に収録決定か。 --  &new{2018-04-14 (土) 05:35:28};
-Switchに収録されました｡ --  &new{2018-07-20 (金) 11:16:20};
-↑ 今更？ --  &new{2018-07-20 (金) 11:20:11};
-これグリーン中にサヨナラくるかな？ --  &new{2020-01-26 (日) 06:39:56};
-アンパンマン、紅蓮華裏と同じく400コンボ＋ラストに黄色連打 --  &new{2021-09-26 (日) 17:08:57};
-↑ 気まぐれロマンティックも同様。 --  &new{2021-09-26 (日) 17:38:57};
-↑3曲あるんだよね？ --  &new{2021-09-26 (日) 18:49:59};
-2022/1/24にサヨナラ確定 --  &new{2021-12-24 (金) 17:24:36};
-XY＆Zより先にサヨナラ。双方サトシが歌っているのに・・・ --  &new{2021-12-24 (金) 17:44:32};
-高難易度は正義(ORAS？知らんな) --  &new{2021-12-24 (金) 22:48:49};
