[[サントラ収録曲]]

-とりあえずページ作成。 --  &new{2018-05-03 (木) 21:10:11};
-他にもありましたら追加してください。 --  &new{2018-05-04 (金) 17:44:03};
-たこやきとラムネが来ましたね。 --  &new{2018-06-15 (金) 06:10:36};
-なんかの雑誌の付録で戦国三弦があったような？ --  &new{2018-06-23 (土) 15:46:30};
-たこやき追加。 --  &new{2018-06-27 (水) 19:56:11};
-ラムネを追加しました。 --  &new{2018-07-11 (水) 16:24:05};
-かきごおりを追加しました。 --  &new{2018-07-26 (木) 20:11:47};
-わたがしを追加しました。 --  &new{2018-08-08 (水) 18:13:31};
-ベビーカステラを追加しました。 --  &new{2018-08-29 (水) 18:55:13};
-世界はいつでもミステリーは、エンディング尺のフルバージョンで収録。 --  &new{2018-09-08 (土) 22:39:23};
-かたぬきを追加しました。↑反映しました。 --  &new{2018-09-12 (水) 17:39:49};
-月影SASURAI（ドンダフル）が抜けてませんか？ --  &new{2018-09-15 (土) 20:42:06};
-↑追加しました。 --  &new{2018-09-15 (土) 20:57:41};
-CDでドドンガドン（アニメ編）はいれないんですか？ --  &new{2021-05-07 (金) 21:54:21};
-うそうそ時にはフルバージョンがある --  &new{2021-12-03 (金) 02:04:51};
-サントラ未収録曲ページみたいにこっちにもロングverの一覧が欲しい。赤薔薇とかGrowing Upみたいな --  &new{2022-01-24 (月) 17:34:18};
