*わだどんの成長記録 [#title]
[[Wii1の収録曲]]
|ストーリー名|ごほうび|h
|わだどん生まれる！|なし|
|はじめての音色|音色「わだどん」|
|おならでプップクプー！|音色「おなら」|
|タンバリンでフィーバー！|音色「タンバリン」|
|ズシ〜ン！ときたドン！|音色「ロボット」|
|ようちえんせいに変身|「ようちえんせい」にレベルアップ|
|~|楽曲「[[戦国三弦>難易度表/おに/戦国三弦]]」|
|どん子がやってきた！|音色「どん子」|
|バーンとはなびだドン！|音色「花火」|
|ビリビリきたド〜ン！|音色「カミナリ太鼓」|
|かいじゅうギャオー！！|音色「かいじゅう」|
|小学生に変身|「小学生」にレベルアップ|
|~|楽曲「[[夜桜謝肉祭>難易度表/おに/夜桜謝肉祭]]」|
|おわらいキタドン！|音色「おわらい」|
|どん子のキモチ|楽曲「[[どん子のファーストデート>難易度表/おに/どん子のファーストデート]]」|
|ドコン団？|楽曲「[[STAGE 0.ac11>難易度表/おに/STAGE 0.ac11]]」|
|はるかとおい国|音色「きもちイイ」|
|ツッパリに変身|「ツッパリ」にレベルアップ|
|~|音色「メタル太鼓」|
|爆音バリバリー！|楽曲「[[われら無敵のドコン団>難易度表/おに/われら無敵のドコン団]]」|
|太鼓番長めさそうゼ！|音色「ツッパリどん」|
|アネき、シビレるゼー！|楽曲「[[Hole in the wall>難易度表/おに/Hole in the wall]]」|
|どん子大爆発！|楽曲「[[メカデス。>難易度表/おに/メカデス。]]」|
|~|メカドンが代理で演奏を行う(1回目)|
|ハッピーでリッパ！|わだどんが戻ってくる(1回目)|
|~|「黒どん」にレベルアップ|
|~|楽曲「[[ハッピーでリッパ！>難易度表/おに/ハッピーでリッパ！]]」|
|大魂さま登場！|音色「ゴージャス太鼓」|
|うれしハズカシどん子|楽曲「[[メンクイミラクル>難易度表/おに/メンクイミラクル]]」|
|キミのこと、だいすき！|音色「だいすき」|
|こだまのおむかえ|楽曲「[[風のファンタジー>難易度表/おに/風のファンタジー]]」|
|~|メカドンが代理で演奏を行う(2回目)|
|ユメ、かなったドン！|わだどんが戻ってくる(2回目)|
|~|「スタッフロール」|
|~|音色「こだま」|
|めざせ！太鼓の達人！|「金どん」にレベルアップ|
|~|楽曲「[[The Carnivorous Carnival>難易度表/おに/The Carnivorous Carnival]]」|
|~|楽曲「[[伝説の祭り>難易度表/おに/伝説の祭り]]」|
