|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#d15136):COLOR(#fff):''かん&br;たん''|BGCOLOR(#6c9658):COLOR(#fff):''ふつう''|BGCOLOR(#2b6a7e):COLOR(#fff):''むずか&br;しい''|BGCOLOR(#dcaf2c):COLOR(#fff):''ドンだ&br;フル！''|h
|''新''|''1/54''|''六甲おろし''|112|[[★×1>難易度表/かんたん/六甲おろし]]|[[★×1>難易度表/ふつう/六甲おろし]]|[[★×3>難易度表/むずかしい/六甲おろし]]|[[★×7>難易度表/おに/六甲おろし]]|
|''新''|''2/54''|''明日への扉''|87|[[★×2>難易度表/かんたん/明日への扉]]|[[★×1>難易度表/ふつう/明日への扉]]|[[★×2>難易度表/むずかしい/明日への扉]]|[[★×4>難易度表/おに/明日への扉]]|
|''新''|''3/54''|''もりのくまさん''|120|[[★×1>難易度表/かんたん/もりのくまさん]]|[[★×1>難易度表/ふつう/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|
||''4/54''|''ドラえもん音頭''|112|[[★×1>難易度表/かんたん/ドラえもん音頭]]|[[★×1>難易度表/ふつう/ドラえもん音頭]]|[[★×1>難易度表/むずかしい/ドラえもん音頭]]|[[★×2>難易度表/おに/ドラえもん音頭]]&br;SIZE(10){譜面分岐あり}|
||''5/54''|''ドラえもんのうた''|123|[[★×1>難易度表/かんたん/ドラえもんのうた]]|[[★×1>難易度表/ふつう/ドラえもんのうた]]|[[★×2>難易度表/むずかしい/ドラえもんのうた]]|[[★×4>難易度表/おに/ドラえもんのうた]]|
|''新''|''6/54''|''爆竜戦隊アバレンジャー''|163|[[★×2>難易度表/かんたん/爆竜戦隊アバレンジャー]]|[[★×2>難易度表/ふつう/爆竜戦隊アバレンジャー]]|[[★×3>難易度表/むずかしい/爆竜戦隊アバレンジャー]]|[[★×6>難易度表/おに/爆竜戦隊アバレンジャー]]|
||''7/54''|''ミニモニ。テレフォン！リンリンリン''|150|[[★×3>難易度表/かんたん/ミニモニ。テレフォン！リンリンリン]]|[[★×2>難易度表/ふつう/ミニモニ。テレフォン！リンリンリン]]|[[★×5>難易度表/むずかしい/ミニモニ。テレフォン！リンリンリン]]|[[★×5>難易度表/おに/ミニモニ。テレフォン！リンリンリン]]|
||''8/54''|''ハム太郎とっとこうた''|140|[[★×2>難易度表/かんたん/ハム太郎とっとこうた]]|[[★×2>難易度表/ふつう/ハム太郎とっとこうた]]|[[★×4>難易度表/むずかしい/ハム太郎とっとこうた]]|[[★×5>難易度表/おに/ハム太郎とっとこうた]]|
||''9/54''|''シーソーゲーム''&br;　　SIZE(11){〜勇敢な恋の歌〜}|135|[[★×5>難易度表/かんたん/シーソーゲーム]]|[[★×2>難易度表/ふつう/シーソーゲーム]]|[[★×3>難易度表/むずかしい/シーソーゲーム]]&br;SIZE(10){譜面分岐あり}|[[★×5>難易度表/おに/シーソーゲーム]]|
|''新''|''10/54''|''北酒場''|137|[[★×3>難易度表/かんたん/北酒場]]|[[★×2>難易度表/ふつう/北酒場]]|[[★×2>難易度表/むずかしい/北酒場]]|[[★×4>難易度表/おに/北酒場]]|
|''新''|''11/54''|''ドンパン節''|98|[[★×2>難易度表/かんたん/ドンパン節]]|[[★×2>難易度表/ふつう/ドンパン節]]|[[★×2>難易度表/むずかしい/ドンパン節]]|[[★×4>難易度表/おに/ドンパン節]]|
|''新''|''12/54''|''UFO''|164|[[★×4>難易度表/かんたん/UFO]]|[[★×2>難易度表/ふつう/UFO]]|[[★×3>難易度表/おに/UFO]]|[[★×2>難易度表/おに/UFO]]|
|''新''|''13/54''|''VALENTI''|103|[[★×2>難易度表/かんたん/VALENTI]]|[[★×2>難易度表/ふつう/VALENTI]]|[[★×3>難易度表/むずかしい/VALENTI]]|[[★×5>難易度表/おに/VALENTI]]|
|''新''|''14/54''|''ね〜え？''|169|[[★×2>難易度表/かんたん/ね〜え？]]|[[★×3>難易度表/ふつう/ね〜え？]]|[[★×3>難易度表/むずかしい/ね〜え？]]|[[★×3>難易度表/おに/ね〜え？]]|
|''新''|''15/54''|''true blue''|130|[[★×4>難易度表/かんたん/true blue]]|[[★×3>難易度表/ふつう/true blue]]|[[★×4>難易度表/むずかしい/true blue]]|[[★×7>難易度表/おに/true blue]]|
|''新''|''16/54''|''それが大事''|119|[[★×2>難易度表/かんたん/それが大事]]|[[★×3>難易度表/ふつう/それが大事]]|[[★×5>難易度表/むずかしい/それが大事]]|[[★×8>難易度表/おに/それが大事]]|
|''新''|''17/54''|''DIAMONDS -ダイアモンド-''|111|[[★×3>難易度表/かんたん/DIAMONDS -ダイアモンド-]]|[[★×3>難易度表/ふつう/DIAMONDS -ダイアモンド-]]|[[★×3>難易度表/むずかしい/DIAMONDS -ダイアモンド-]]|[[★×6>難易度表/おに/DIAMONDS -ダイアモンド-]]|
|''新''|''18/54''|''My Revolution''|129|[[★×4>難易度表/かんたん/My Revolution]]|[[★×3>難易度表/ふつう/My Revolution]]|[[★×2>難易度表/むずかしい/My Revolution]]|[[★×6>難易度表/おに/My Revolution]]|
||''19/54''|''TRAIN-TRAIN''|166-195※|[[★×3>難易度表/かんたん/TRAIN-TRAIN]]|[[★×3>難易度表/ふつう/TRAIN-TRAIN]]|[[★×5>難易度表/むずかしい/TRAIN-TRAIN]]|[[★×7>難易度表/おに/TRAIN-TRAIN]]|
|''新''|''20/54''|''3年目の浮気''|100|[[★×3>難易度表/かんたん/3年目の浮気]]|[[★×3>難易度表/ふつう/3年目の浮気]]|[[★×4>難易度表/むずかしい/3年目の浮気]]|[[★×5>難易度表/おに/3年目の浮気]]|
