*隠し要素解禁条件 [#title]
[[Wii2の収録曲]]
|CENTER:||||||c
|解禁条件|ごほうび|h
|ストーリーモードで「対決！メカドン」をクリアした。|楽曲「[[フューチャー・ラボ>難易度表/おに/フューチャー・ラボ]]」|
|~|きせかえ「はちまき」|
|ストーリーモードで「対決！アンチモン」をクリアした。|楽曲「[[ハロー！ハロウィン>難易度表/おに/ハロー！ハロウィン]]」|
|~|きせかえ「ちびどん」|
|ストーリーモードで「対決！イットリウム」をクリアした。|楽曲「[[Many wow bang!>難易度表/おに/Many wow bang!]]」|
|~|きせかえ「ヘビメタ」|
|ストーリーモードで「対決！ガリウム」をクリアした。|楽曲「[[SORA-I アースライズ>難易度表/おに/SORA-I アースライズ]]」|
|~|きせかえ「にくまん」|
|ストーリーモードで「対決！タンタル」をクリアした。|楽曲「[[風雲志士>難易度表/おに/風雲志士]]」|
|~|きせかえ「よろいカブト」|
|ストーリーモードで「対決！ゲルマ」をクリアした。|楽曲「[[ユウガオノキミ>難易度表/おに/ユウガオノキミ]]」|
|~|きせかえ「消防車」|
|ストーリーモードで「対決！タングステン」をクリアした。|楽曲「[[亜空間遊泳ac12.5>難易度表/おに/亜空間遊泳ac12.5]]」|
|~|きせかえ「特急電車」|
|ストーリーモードで「対決！テルル」をクリアした。|楽曲「[[SORA-II グリーゼ581>難易度表/おに/SORA-II グリーゼ581]]」|
|~|きせかえ「ヘッドホン」|
|ストーリーモードで「対決！アルミ」をクリアした。|楽曲「[[ヒカリノカナタヘ>難易度表/おに/ヒカリノカナタヘ]]」|
|ストーリーモードで「対決！ワルルー」をクリアした。|楽曲「[[ワルルーさまの歌を聴けぇ！>難易度表/おに/ワルルーさまの歌を聴けぇ！]]」|
|~|きせかえ「金のシャチホコ」|
|太鼓カウンターが20000になった|楽曲「[[ブルちゃんのおや2>難易度表/おに/ブルちゃんのおや2]]」|
|太鼓カウンターが60000になった|楽曲「[[練習曲Op.10-4>難易度表/おに/練習曲Op.10-4]]」|
|太鼓カウンターが87600になった|楽曲「[[エンジェル ドリーム>難易度表/おに/エンジェル ドリーム]]」|
|~|楽曲「[[らんぶる乱舞>難易度表/おに/らんぶる乱舞]]」|
|~|楽曲「[[夜桜謝肉祭>難易度表/おに/夜桜謝肉祭]]」|
|~|楽曲「[[季曲 〜Seasons of Asia〜>難易度表/おに/季曲 〜Seasons of Asia〜]]」|
|~|楽曲「[[Rotter Tarmination>難易度表/おに/Rotter Tarmination]]」|
|太鼓カウンターが99999になった|楽曲「[[SAMURAI ROCKET 　(裏)>難易度表/おに/SAMURAI ROCKET(裏譜面)]]」|
|~|楽曲「[[DON'T CUT　(裏)>難易度表/おに/DON'T CUT(裏譜面)]]」|
|~|楽曲「[[エンジェル ドリーム　(裏)>難易度表/おに/エンジェル ドリーム(裏譜面)]]」|
|~|楽曲「[[風雲！バチお先生　(裏)>難易度表/おに/風雲！バチお先生(裏譜面)]]」|
|~|楽曲「[[らんぶる乱舞　(裏)>難易度表/おに/らんぶる乱舞(裏譜面)]]」|
|~|楽曲「[[夜桜謝肉祭　(裏)>難易度表/おに/夜桜謝肉祭(裏譜面)]]」|
|~|楽曲「[[季曲 〜Seasons of Asia〜　(裏)>難易度表/おに/季曲 〜Seasons of Asia〜(裏譜面)]]」|
|~|楽曲「[[蓄勢 〜GEAR UP〜　(裏)>難易度表/おに/蓄勢 〜GEAR UP〜(裏譜面)]]」|
|~|楽曲「[[Rotter Tarmination　(裏)>難易度表/おに/Rotter Tarmination(裏譜面)]]」|
|演奏回数が300回|楽曲「[[はやさいたま2000>難易度表/おに/はやさいたま2000]]」|
|王冠100個ゲット|楽曲「[[オブセッション・ラティーノ>難易度表/おに/オブセッション・ラティーノ]]」|
|王冠200個ゲット|楽曲「[[旋風ノ舞>難易度表/おに/旋風ノ舞【地】]]」|
|演奏ゲームを難易度かんたんで30曲クリア|オプション「あべこべ」|
|演奏ゲームを難易度ふつうで30曲クリア|オプション「ドロン」|
|演奏ゲームを難易度むずかしいで20曲クリア|オプション「よんばい」|
|演奏ゲームを難易度おにで20曲クリア|オプション「かんぺき」|
|ニャンキーからメールをもらう|楽曲「[[SAMURAI ROCKET>難易度表/おに/SAMURAI ROCKET]]」|
|~|楽曲「[[DON'T CUT>難易度表/おに/DON'T CUT]]」|
|~|楽曲「[[風雲！バチお先生>難易度表/おに/風雲！バチお先生]]」|
|~|楽曲「[[蓄勢 〜GEAR UP〜>難易度表/おに/蓄勢 〜GEAR UP〜]]」|
|演奏ゲームを難易度むずかしいで10曲クリア|難易度「おに」|
|ED後、演奏ゲームを1回プレイ|楽曲「[[ららら☆ハッピネス>難易度表/おに/ららら☆ハッピネス]]」|
----
**その他 [#other]
-音色・きせかえは、ストーリーモードを進めていくと増えていきます。
