|||46|CENTER:38|89|c
|お題名|クリア条件|BPM|レベル|出現条件|h
|[[はじめてのたいこ教室 1>難易度表/その他/はじめてのたいこ教室 1]]||80|1|最初から出現|
|[[はじめてのたいこ教室 2>難易度表/その他/はじめてのたいこ教室 2]]||116|1|最初から出現|
|[[はじめてのたいこ教室 3>難易度表/その他/はじめてのたいこ教室 3]]||80|2|最初から出現|
|[[はじめてのたいこ教室 4>難易度表/その他/はじめてのたいこ教室 4]]||116|2|最初から出現|
|[[はじめてのたいこ教室 5>難易度表/その他/はじめてのたいこ教室 5]]||116|3|段位「6級」|
|[[はじめてのたいこ教室 6>難易度表/その他/はじめてのたいこ教室 6]]||116|4|段位「3級」|
|[[はじめてのたいこ教室 7>難易度表/その他/はじめてのたいこ教室 7]]||116|4|段位「3級」|
|[[はじめてのたいこ教室 8>難易度表/その他/はじめてのたいこ教室 8]]||116|5|段位「初段」|
|[[はじめてのたいこ教室 9>難易度表/その他/はじめてのたいこ教室 9]]||116|5|段位「初段」|
|[[はじめてのたいこ教室 10>難易度表/その他/はじめてのたいこ教室 10]]||80|6|段位「七段」|
|[[テクニックドンカツ 1>難易度表/その他/テクニックドンカツ 1]]||80|1|段位「5級」|
|[[テクニックドンカツ 2>難易度表/その他/テクニックドンカツ 2]]||116|2|段位「5級」|
|[[テクニックドンカツ 3>難易度表/その他/テクニックドンカツ 3]]||80|2|段位「5級」|
|[[テクニックドンカツ 4>難易度表/その他/テクニックドンカツ 4]]||116|3|段位「1級」|
|[[テクニックドンカツ 5>難易度表/その他/テクニックドンカツ 5]]||116|4|段位「1級」|
|[[テクニックドンカツ 6>難易度表/その他/テクニックドンカツ 6]]||116|4|段位「二段」|
|[[テクニックドンカツ 7>難易度表/その他/テクニックドンカツ 7]]||116|4|段位「二段」|
|[[テクニックドンカツ 8>難易度表/その他/テクニックドンカツ 8]]||116|5|段位「四段」|
|[[テクニックドンカツ 9>難易度表/その他/テクニックドンカツ 9]]||116|5|段位「四段」|
|[[テクニックドンカツ 10>難易度表/その他/テクニックドンカツ 10]]||80|6|段位「八段」|
|[[リズムマシーン 1>難易度表/その他/リズムマシーン 1]]||116|2|段位「2級」|
|[[リズムマシーン 2>難易度表/その他/リズムマシーン 2]]||116|3|段位「2級」|
|[[リズムマシーン 3>難易度表/その他/リズムマシーン 3]]||116|4|段位「三段」|
|[[リズムマシーン 4>難易度表/その他/リズムマシーン 4]]||116|4|段位「五段」|
|[[リズムマシーン 5>難易度表/その他/リズムマシーン 5]]||116|6|段位「五段」|
|[[リズムマシーン 6>難易度表/その他/リズムマシーン 6]]||116|6|段位「九段」|
|[[リズムマシーン 7>難易度表/その他/リズムマシーン 7]]||116|7|段位「九段」|
|[[リズムマシーン 8>難易度表/その他/リズムマシーン 8]]||116|7|段位「九段」|
