[[難易度表/おに/うっせぇわ]]

-作成乙です --  &new{2021-04-21 (水) 07:56:09};
-エトウほんとddd ddk好きやな --  &new{2021-04-21 (水) 09:33:22};
-最初はどうして｢syudou feat.Ado｣じゃないのかと思ったけど提供曲だと知ってからは納得した(ビタチョコとかなら多分syudouもクレジットに入ると思う) --  &new{2021-04-21 (水) 12:47:58};
-音取りも綺麗やしサビ前のソフランがセンスあるな、って思った --  &new{2021-04-21 (水) 12:51:54};
//-☆10になるのは期待してたのに…残念 --  &new{2021-04-21 (水) 13:51:39};
//-逆に★6か7くらいになると思ってた --  &new{2021-04-21 (水) 14:33:49};
-風船を4打だけ叩いて全良するとちょうど100万点になる --  &new{2021-04-21 (水) 17:48:36};
-赤薔薇と同じBPMなの初めて知った --  &new{2021-04-21 (水) 18:53:50};
-この曲J-POPの割には結構速いよな、最初150ぐらいかと思ってた --  &new{2021-04-22 (木) 01:24:24};
-まあ作曲者ボカロPもやってるしね　ソーシャルミュージック系はだいたいこんな速さだと思う --  &new{2021-04-22 (木) 04:32:07};
-この曲って物量譜面に入るんですか？ --  &new{2021-04-22 (木) 10:48:58};
//-ぱっと見クソ簡単だけど実際まあまあだな。 --  &new{2021-04-22 (木) 13:17:06};
-↑ペトラ裏と同じ局所物量だね。あっちに比べて複合が複雑だから単なる物量では無いぞ --  &new{2021-04-22 (木) 18:39:26};
-↑ありがとう　技術譜面かなーと思ってたけど違うんやな --  &new{2021-04-22 (木) 20:15:55};
-ぶっちゃけ★×7でもいいよな --  &new{2021-04-23 (金) 18:45:42};
-↑体力に自信ありニキ裏山。疲れない叩き方教えて！ --  &new{2021-04-23 (金) 19:41:13};
-想いを手に(ry「誠に遺憾である」 --  &new{2021-04-23 (金) 20:14:55};
-Sweet Sweet Magicよりは確実に弱いな --  &new{2021-04-23 (金) 21:36:46};
-↑1,2　詐称と比べるなと何度言えば --  &new{2021-04-23 (金) 22:14:45};
-↑　↑3だけど、この程度で8なのに想いを(ryと来たらってことを言いたかった --  &new{2021-04-23 (金) 22:24:27};
-星8にしては弱めかもだけど星7と言われるとこのBPMのこの複合はきついような気もする --  &new{2021-04-24 (土) 09:00:25};
-これ★7って言われても違和感ないけど適正から見たら違うのかもしれん --  &new{2021-04-25 (日) 14:48:07};
-案外平均密度が高いから星8弱適性者は交互でやるべし --  &new{2021-04-25 (日) 19:35:46};
