*うなぎの挑戦状 [#title]
[[DS1の収録曲]]


-かんたんはアニメ、ふつうはJ-POPのみ。
//-難易度比較は一切不要です。

||CENTER:難易度|演奏曲|お題|h
|梅その1|CENTER:かんたん|[[アンパンマンのマーチ>難易度表/かんたん/アンパンマンのマーチ]]|スコア''5万点''以上とってノルマクリア|
|梅その2|~|[[Together>難易度表/かんたん/Together]]|最大コンボ数''20コンボ''以上とってノルマクリア|
|梅その3|~|[[ドラえもんのうた>難易度表/かんたん/ドラえもんのうた]]|スコア''7万点''以上とってノルマクリア|
|梅その4|~|[[獣拳戦隊ゲキレンジャー>難易度表/かんたん/獣拳戦隊ゲキレンジャー]]|最大コンボ数''40コンボ''以上とってノルマクリア|
|梅その5|~|[[プリキュア5、スマイル go go!>難易度表/かんたん/プリキュア5、スマイル go go!]]|''良30回''以上とってノルマクリア|
|梅その6|~|[[タッチ>難易度表/かんたん/タッチ]]|演奏オプションを''あべこべ''にしてノルマクリア|
|竹その1|CENTER:ふつう|[[夏祭り>難易度表/ふつう/夏祭り]]|スコア''20万点''以上とってノルマクリア|
|竹その2|~|[[決意の朝に>難易度表/ふつう/決意の朝に]]|最大コンボ数''50コンボ''以上とってノルマクリア|
|竹その3|~|[[DANCE2 feat.ソイソース>難易度表/ふつう/DANCE2 feat.ソイソース]]|演奏オプションを''ばいそく''にしてノルマクリア|
|竹その4|~|[[気分上々↑↑>難易度表/ふつう/気分上々↑↑]]|スコア''25万点''以上とってノルマクリア|
|竹その5|~|[[マタアイマショウ>難易度表/ふつう/マタアイマショウ]]|''良60回''以上とってノルマクリア|
|竹その6|~|[[さくらんぼ>難易度表/ふつう/さくらんぼ]]|演奏オプションを''ドロン''にしてノルマクリア|
|松その1|CENTER:むずかしい|[[名探偵コナン メイン・テーマ>難易度表/むずかしい/名探偵コナン メイン・テーマ]]|スコア''30万点''以上とってノルマクリア|
|松その2|~|[[たらこ・たらこ・たらこ>難易度表/むずかしい/たらこ・たらこ・たらこ]]|最大コンボ数''50コンボ''以上とってノルマクリア|
|松その3|~|[[スーパーマリオブラザーズ>難易度表/むずかしい/スーパーマリオブラザーズ]]|スコア''35万点''以上とってノルマクリア|
|松その4|~|[[交響曲第7番から>難易度表/むずかしい/交響曲第7番から]]|''良180回''以上とってノルマクリア|
|松その5|~|[[もりのくまさん>難易度表/おに/もりのくまさん]]|演奏オプションを''さんばい''にしてノルマクリア|
|松その6|~|[[キミにタッチ！>難易度表/むずかしい/キミにタッチ！]]|スコア''42万点''以上とってノルマクリア|
|松その7|~|[[ウィリアム・テル序曲>難易度表/むずかしい/ウィリアム・テル序曲]]|最大コンボ数''200コンボ''以上とってノルマクリア|
|松その8|~|[[もじぴったんメドレー>難易度表/むずかしい/もじぴったんメドレー]]|''良250回''以上とってノルマクリア|
|松その9|~|[[WON'T BE LONG>難易度表/むずかしい/WON'T BE LONG]]|演奏オプションを''よんばい''にしてノルマクリア|
|鬼その1|CENTER:おに|[[ナムコットメドレー>難易度表/おに/ナムコットメドレー]]|スコア''45万点''以上とってノルマクリア|
|鬼その2|~|[[クラシックメドレー(ウェディング編)>難易度表/おに/クラシックメドレー(ウェディング編)]]|最大コンボ数''250コンボ''以上とってノルマクリア|
|鬼その3|~|[[天国と地獄 序曲>難易度表/おに/天国と地獄 序曲]]|''良300回''以上とってノルマクリア|
|鬼その4|~|[[いぬのおまわりさん>難易度表/おに/いぬのおまわりさん]]|スコア''45万点''以上とってノルマクリア|
|鬼その5|~|[[GO MY WAY!!>難易度表/おに/GO MY WAY!!]]|最大コンボ数''400コンボ''以上とってノルマクリア|
|鬼その6|~|[[風雲！バチお先生>難易度表/おに/風雲！バチお先生]]|スコア''80万点''以上とってノルマクリア|
|鬼その7|~|[[KAGEKIYO>難易度表/おに/KAGEKIYO 源平討魔伝メドレー]]|最大コンボ数''765コンボ''とってノルマクリア|
|鬼その8|~|[[熊蜂の飛行>難易度表/おに/熊蜂の飛行]]|演奏オプションを''さんばい''にしてノルマクリア|
|鬼その9|~|[[てんぢく2000>難易度表/おに/てんぢく2000]]|''良555回''以上とってノルマクリア|
