[[難易度表/おに/イイコ進化論(feat. O-LuHA)]]

-基礎を作成しました。 --  &new{2020-12-23 (水) 15:22:24};
//-大体で草 --  &new{2020-12-23 (水) 20:13:50};
-AC版ドローインドリーム --  &new{2020-12-23 (水) 21:33:49};
-強化版ユウガオノキミ --  &new{2020-12-25 (金) 02:04:32};
-版権☆9独特の楽しさがある --  &new{2020-12-25 (金) 02:17:10};
-この曲揺れてるんですか？ --  &new{2022-02-16 (水) 15:07:57};
-ちょい空気っぽいけど譜面の完成度はピカイチ --  &new{2022-05-18 (水) 08:42:57};
-六段1曲目これかも。 --  &new{2022-05-26 (木) 20:40:51};
-↑やはり六段に来ましたか --  &new{2022-06-04 (土) 07:09:17};
-これ普通に速さ的にむずい気がするけど、適正者目線だとどうなんやろ --  &new{2022-06-04 (土) 09:05:19};
//-これ普通に速さ的にむずい気がするけど、適正者的にはどうなんやろ --  &new{2022-06-04 (土) 09:05:19};
-↑ラプソディもこの位置だったしそんなに苦じゃないんじゃね --  &new{2022-06-04 (土) 09:17:38};
-↑2の人)16分もあるしどうやろとは思った --  &new{2022-06-04 (土) 09:57:51};
-六段に高速処理が問われるのは結構珍しい気がする --  &new{2022-06-04 (土) 13:20:39};
-↑ラプソディぶり --  &new{2022-06-04 (土) 13:23:57};
-ラプソディと比べるとあっちより複合は難解じゃないけど16分があるのが大きな違いだな、適正者にBPM270は割とキツイのでは --  &new{2022-06-04 (土) 14:36:49};
-6段目指してるけど個人差結構あると思う　自分は稼ぎとして見てます --  &new{2022-06-04 (土) 19:58:24};
-↑ワイはこの曲が一番キツい　個人差あるって聞いて安心した --  &new{2022-06-13 (月) 22:16:38};
//-↑ワイはこの曲が一番キツい　個人差あるって聞いて安心した --  &new{2022-06-13 (月) 22:16:39};
