*隠し要素解禁条件 [#title]
[[NS1の収録曲]]
|CENTER:||||||c
|解禁条件|ごほうび|h
|パーティゲームを1回プレイ|演奏キャラクター「バチお先生」|
|パーティゲームを3回プレイ|楽曲「[[ドキドキ胸きゅん おまつりタイム>難易度表/おに/ドキドキ胸きゅん おまつりタイム]]」|
|パーティゲームを6回プレイ|演奏キャラクター「お面小僧(きつね)」|
|パーティゲームを8回プレイ|楽曲「[[和蘭撫子>難易度表/おに/和蘭撫子]]」|
|パーティゲームを9回プレイ|演奏キャラクター「和田ミミズ」|
|パーティゲームを10回プレイ|演奏キャラクター「ねこと杓子」|
|パーティゲームを12回プレイ|演奏キャラクター「水マリ子」|
|パーティゲームを15回プレイ|演奏キャラクター「お面小僧(ひょっとこ)」|
|~|楽曲「[[Racing the Storm>難易度表/おに/Racing the Storm]]」|
|パーティゲームを18回プレイ|演奏キャラクター「和田イヌ」|
|パーティゲームを20回プレイ|演奏キャラクター「どん子」|
|~|楽曲「[[鳳凰天舞無限崩れ>難易度表/おに/鳳凰天舞無限崩れ]]」|
|パーティゲームを21回プレイ|演奏キャラクター「かめ」|
|パーティゲームを25回プレイ|演奏キャラクター「ちょうちんうなぎ」|
|パーティゲームを29回プレイ|演奏キャラクター「お面小僧(おかめ)」|
|パーティゲームを30回プレイ|演奏キャラクター「なまはげ」|
|~|楽曲「[[女帝 〜インバラトゥーラ〜>難易度表/おに/女帝 〜インバラトゥーラ〜]]」|
|パーティゲームを33回プレイ|演奏キャラクター「すずどん」|
|パーティゲームを36回プレイ|演奏キャラクター「たこやき」|
|パーティゲームを40回プレイ|演奏キャラクター「和田ジョン」|
|~|楽曲「[[The Carnivorous Carnival>難易度表/おに/The Carnivorous Carnival]]」|
|パーティゲームを50回プレイ|演奏キャラクター「立つドン」|
|~|楽曲「[[アサルト>難易度表/おに/アサルト BGM1]][[ BGM1>難易度表/おに/アサルト BGM1(裏譜面)]]」|
|パーティゲームを60回プレイ|楽曲「[[アントニオ>難易度表/おに/アントニオ]]」|
|パーティゲームを80回プレイ|楽曲「[[双竜ノ乱>難易度表/おに/双竜ノ乱]]」|
|パーティゲームを100回プレイ|楽曲「[[クラポルポルスカ>難易度表/おに/クラポルポルスカ]]」|
