|CENTER:BGCOLOR(#d0d8e0):¶ÊÌ¾|CENTER:BGCOLOR(#d04102):COLOR(#fff):''¤«¤ó&br;¤¿¤ó''|CENTER:BGCOLOR(#83ae5a):COLOR(#fff):''¤Õ¤Ä¤¦''|CENTER:BGCOLOR(#167d7e):COLOR(#fff):''¤à¤º¤«&br;¤·¤¤''|CENTER:BGCOLOR(#b04c5a):COLOR(#fff):''¤ª¤Ë''|
|¥Þ¥Ä¥±¥ó¥µ¥ó¥Ð­¶|123|183|282|385|
|²Ö|130|176|281|418|
|¤µ¤¯¤é¤ó¤Ü|114|143|203|303|
|¥í¥³¥í¡¼¥·¥ç¥ó|162|247|293|561|
|¾å³¤¥Ï¥Ë¡¼|131|198|283|303|
|²Æº×¤ê|135|172|389|488|
|¥Ä¥Ð¥µ|120|165|281|447|
|NO MORE CRY|120|158|235|408|
|Ì¤Íè¤ÎÃÏ¿Þ|100|137|220|299|
|ÀÄ¤¤¥Ù¥ó¥Á|83|116|187|230|
|¥¢¥¸¥¢¤Î½ã¿¿!!|123|143|212|370|
|Îø¤Î¥Õ¡¼¥¬|105|128|234|294|
|¾¡¼ê¤Ë¤·¤ä¤¬¤ì|69|98|224|270|
|¥×¥ì¥¤¥Ð¥Ã¥¯Part2|106|190|295|349|
|Å·ÂÎ´ÑÂ¬|132|189|262|405|
|¥ê¥ó¥À¥ê¥ó¥À|145|264|291|377|
|TRAIN-TRAIN|237|358|439|529|
|¾Ë»Ò¤Î¾¯Ç¯|107|147|288|411|
|Á°Î¬¡¢Æ»¤Î¾å¤è¤ê|174|242|518|650|
|LOVE¥Þ¥·¡¼¥ó|136|180|270|302|
|ChooChooTRAIN|143|230|371|545|
|¤â¤é¤¤µã¤­|103|133|241|334|
|½éÎøÎó¼Ö|83|110|189|249|
|ºÇ½é¤«¤éº£¤Þ¤Ç|67|102|137|160|
|¥ß¥Ã¥­¡¼¥Þ¥¦¥¹¡¦¥Þ¡¼¥Á|132|213|282|496|
|¾ÐÅÀ¤Î¥Æ¡¼¥Þ|94|138|203|265|
|TRUTH|174|250|346|410|
|Ë½¤ì¤óË·¾­·³|59|85|159|223|
| ¥É¥é¥´¥ó¥¯¥¨¥¹¥È­¼¡¡¥á¥É¥ì¡¼ |179|242|397|441|
| ¥É¥é¥´¥ó¥¯¥¨¥¹¥È­¼¡¡½ø¶Ê |78|130|152|193|
| DADDY MULK |221|323|656|777|
| Toxic |103|185|287|287|
