[[難易度表/おに/どん子のファーストデート(裏譜面)]]

-いや、星8最高密度やね --  &new{2017-01-31 (火) 15:10:00};
-かなり詐称気味な気が --  &new{2017-01-31 (火) 15:24:19};
-よく見たら16分5連打までで5連打1回だけ？ --  &new{2017-01-31 (火) 15:34:02};
-３連打のパターンも少ないな --  &new{2017-01-31 (火) 16:03:22};
-指先の少し密度が下がったゴーゴーを延々と叩いてる感じ。複合やテクニック面は弱めだが、その分精神面と体力面がきつい --  &new{2017-01-31 (火) 16:06:56};
-８で平均密度７越えはこいつだけな上９として見ても上位という（夜桜より上） --  &new{2017-01-31 (火) 16:42:43};
-ラストの連打びびる --  &new{2017-01-31 (火) 18:09:27};
-ラストの連打はHS4よりはかなり速かった。HS8くらい？ --  &new{2017-01-31 (火) 18:20:46};
-難易度見ないで挑戦したから☆9だと思ってたけど☆8なのか --  &new{2017-01-31 (火) 19:05:04};
-鬼★8最高密度。しかし松★8だと幽玄ノ乱に劣る --  &new{2017-01-31 (火) 19:43:23};
-[[最長音符間隔>太鼓ギネス/音符について#spaseshort]]で山葵を抜き1位に　1位どころかTOP5が更新されたのは山葵の初出以来約4年半ぶり --  &new{2017-01-31 (火) 20:27:42};
-三連符以上の複合がない事を考えると青薔薇の方が強いのかも --  &new{2017-02-01 (水) 08:25:48};
-★8でありながら幽玄むずかしいウルトラマン裏鬼と同じ密度とは・・・ --  &new{2017-02-01 (水) 08:38:45};
-簡単に言うとダンスト裏のいやらしい配置とソフランを潰して完全体力譜面にしちゃった感じ。星8最強クラスのマジドリとどっちが難しいのか？ --  &new{2017-02-01 (水) 10:23:31};
-体力は必要だけど詐称ってわけでもない --  &new{2017-02-01 (水) 15:57:16};
-技術は要らないからな。逆に体力ない(体力を使わない叩き方ができない)とかなりキツイかもね --  &new{2017-02-01 (水) 17:54:59};
-ドンチャレ曲のフライング収録って最初で最後？ --  &new{2017-02-01 (水) 20:29:20};
-ヴァーナスで演奏したらの詐欺曲 --  &new{2017-02-02 (木) 00:40:47};
-BPM190の値が★×8にしては脅威的って書かれてるけど、今の収録曲からすれば特別速いわけでもない --  &new{2017-02-02 (木) 01:12:54};
-ぶっつけ体力勝負譜面、技術は全くいらない --  &new{2017-02-02 (木) 01:18:10};
-一見ワンパターンに見えるが、一部のパターン崩しに耐えられるだけの技術は必要 --  &new{2017-02-02 (木) 04:09:23};
-裏にも2人用譜面存在との情報あり --  &new{2017-02-02 (木) 18:15:15};
-↑ 譜面見る限り双打では無さそうだな --  &new{2017-02-03 (金) 11:17:12};
-2人用の平均密度は約6.36(打/s) --  &new{2017-02-04 (土) 10:18:14};
-6.35か --  &new{2017-02-04 (土) 10:18:53};
-この2日間、2人譜面の配点の件を聞きましたが、「配点の修正の予定はありません。特殊なつくりになっているので」とのことでした。 --  &new{2017-02-07 (火) 20:07:10};
-190というやや高めな程度のBPMで16分が1ヶ所5連打ある以外3連打までしかないって時点で本来★8としては弱すぎるんだけどな。でも平均密度がかなり高いことや休みがほとんどないことを考慮すれば妥当な★8ってとこか。 --  &new{2017-02-08 (水) 17:04:39};
//-特筆する点はそこじゃない。3連符しか無いけど、それが8分混ざりで休みなく最後まで襲いかかってくる。平均密度は高いだけで済ませられない。2位の紅と大きな差をつけた一位だから、同じ高いでも意味合いが全く違う。総合すると妥当どころか★8でも上位に入る --  &new{2017-02-08 (水) 17:18:06};
-特筆する点はそこじゃない。3連複合しか無いけど、それが8分混ざりで休みなく最後まで襲いかかってくる。平均密度は高いだけで済ませられない。2位の紅と大きな差をつけた一位だから、同じ高いでも意味合いが全く違う。総合すると妥当どころか★8でも上位に入る --  &new{2017-02-08 (水) 17:18:06};
-これで妥当な★8だったら花丸日和が逆詐称になりかねない... --  &new{2017-02-10 (金) 00:32:07};
//-間奏から漂うDQ臭 --  &new{2017-02-10 (金) 00:47:13};
//-↑2 つバーニングフォースメドレー --  &new{2017-02-10 (金) 01:04:23};
//-↑2 DQって何？ --  &new{2017-02-10 (金) 01:04:41};
-花丸日和って★8逆詐称といわれてたメルトから5連打複合をなくした感じだよね --  &new{2017-02-10 (金) 11:04:47};
//-3連符はないぞ --  &new{2017-02-10 (金) 12:27:51};
//-友達とやって初めて知って自分と友達でえ？ってなりました --  &new{2017-02-12 (日) 00:20:01};
-↑花丸日和を微強化したのがバニフォ --  &new{2017-02-12 (日) 00:37:08};
-ドンだーひろばより。ココロボと同じく連打数に限界がある模様。現在の全一は8打です。実質的な理論値は10580040点かも知れません。もしも9打以上入ったら報告お願いします。 --  &new{2017-02-14 (火) 13:49:19};
-密度が明らかに適正者には高すぎるから詐称でよさそう --  &new{2017-02-14 (火) 17:06:12};
-毎小節の運手が同じですのでって何故そこ丁寧語w --  &new{2017-02-14 (火) 19:14:24};
-交互で叩ける人は多分そんなこと考えるまでもないのでは --  &new{2017-02-14 (火) 19:40:13};
-↑ヴァーナスや分業でこの曲が限界だから体力を節約したいけど交互にあまり熟練していない初心者があるから --  &new{2017-02-14 (火) 20:02:28};
-ナムコオリジナルに入ってないんだけど、誰か出し方わかる人いる？ --  &new{2017-02-25 (土) 01:02:34};
-ドンチャレのお題を「8個」クリアするドーン！もしくは来月の１日まで待つドン --  &new{2017-02-25 (土) 02:22:24};
-てか星9でも難易度順で弱以下に平均密度7打/秒超なんてないぞ。恐ろしい --  &new{2017-03-09 (木) 19:16:32};
-↑9 点数おかしくないか？ --  &new{2017-03-11 (土) 15:45:39};
-単純といってもエンドリ譜面ではなくて闇の魔法少女のような傾向だから適正者は普通に混乱するよこれ。加えてこの密度だから詐称以外あり得ない。 --  &new{2017-03-11 (土) 16:03:27};
-高速に向かなかった旧筐体ならかなりキツイ譜面だった。新筐体なら打ち方をしっかり決めれば適正でも戦える --  &new{2017-03-11 (土) 22:02:02};
//-最後のところはいつも7連打しかできない。 --  &new{2017-03-31 (金) 14:28:22};
//-腕が疲れる。かなりキツイ。 --  &new{2017-04-07 (金) 23:17:49};
//-なぜ7連打しかできないだろう。 --  &new{2017-04-23 (日) 19:46:54};
-なぜこれが8になった。 --  &new{2017-07-20 (木) 21:08:59};
-ほとんど休憩ない。 --  &new{2017-07-25 (火) 19:30:52};
//-よく考えたら、極めて強いってこれまでの表現で最上級だな。 --  &new{2017-07-25 (火) 19:47:39};
-密度はO.T.Nよりたかい --  &new{2017-09-09 (土) 12:28:14};
-この流れでラブユーどんちゃんも復活してくれねえかなぁ… --  &new{2017-10-14 (土) 16:52:58};
-交互でやると体力というより集中力ゲー --  &new{2018-03-14 (水) 15:14:01};
-Gloriaとほぼ変わらない平均密度...どうしてこうなった --  &new{2018-04-15 (日) 16:57:11};
-↑どん子の妄想が激し過ぎたせいかも --  &new{2018-05-24 (木) 12:59:19};
