[[難易度表/おに/U.S.A.]]
//-もっと音取れただろうに。テンション上がる曲やから、もう少し難易度難しい方が楽しかったと思うが。 --  &new{2018-09-13 (木) 18:24:54};
//-↑ 初心者向けに作られたパターン --  &new{2018-09-13 (木) 19:08:31};
//- ↑2　自分だけの価値観で物事を語るイキリキッズの鑑 --  &new{2018-09-13 (木) 19:12:11};
//-音符が多くないと楽しめないのは精進が足りぬ --  &new{2018-09-13 (木) 19:25:45};
//-↑精神的な話？ 悟ってるね。 --  &new{2018-09-13 (木) 19:27:19};
//--ほらー非表示しないからこうなる --  &new{2018-09-13 (木) 19:28:11};
//--なんかまた表示されとるw --  &new{2018-09-13 (木) 19:38:57};
//--↑2　一番上のやつ非表示したら復活してた　ここのコメ全部非表示でいいんじゃね --  &new{2018-09-13 (木) 20:37:55};
-もうちょい複雑な譜面にできただろとは思う --  &new{2018-09-14 (金) 23:45:25};
-↑万人受け用かと --  &new{2018-09-15 (土) 15:32:20};
-繰り返しと変化の付け方上手い --  &new{2018-09-15 (土) 16:43:30};
//-難しければいいと言うことでもないと思うけどね --  &new{2018-09-15 (土) 18:16:32};
//-音余り酷いな --  &new{2018-09-16 (日) 01:45:33};
-イントロとアウトロの音取り(5,6など)が原曲と一致しない件 --  &new{2018-09-16 (日) 23:02:08};
//-私は、やりたいです --  &new{2018-09-17 (月) 15:14:10};
-次verの段位道場初段あたりに来そう --  &new{2018-09-20 (木) 22:07:12};
-歌手の表記ないけどもしかして本人音源？ --  &new{2018-09-22 (土) 17:49:05};
-↑日本語おかしくなっちゃった 表記こそないけど って意味で描きたかった --  &new{2018-09-22 (土) 17:57:28};
-カバーだね、サビが一番聴いてて判別しやすいかなと。 --  &new{2018-09-24 (月) 00:03:22};
-全然複合無いな --  &new{2018-09-24 (月) 18:17:50};
-この曲に、一緒にワイワイ演奏に対応していたので、誰か修正をお願いします。 --  &new{2018-09-26 (水) 23:01:19};
-拾える音もっとあったけどファミリー層に人気がある曲だから加減した感ある --  &new{2018-10-01 (月) 09:18:52};
//-そんなに難しくしないとダメかね --  &new{2018-10-01 (月) 15:57:53};
//-別に難しくしろって言ってるわけじゃないけど音は余ってるよねって言いたかっただけ --  &new{2018-10-01 (月) 18:15:39};
-譜面作成時間なんとたったの3時間 --  &new{2018-10-02 (火) 00:28:59};
//-これ、エトウだったのか。でも、エトウにしては譜面が変だな --  &new{2018-10-02 (火) 00:33:01};
-↑2  それでも[[こいつ>難易度表/おに/宇宙SAMURAI]]には及ばないな --  &new{2018-10-02 (火) 00:35:51};
-うーん、あんまり今までのエトウらしくない譜面だな。譜面作成者を知って意外。 --  &new{2018-10-02 (火) 05:14:22};
-俺はエトウと知って合点がいったけどな。そんな変な譜面か? --  &new{2018-10-02 (火) 10:59:14};
-一見よくある低難易度だが少しずつ肉付けされる繰り返しやくどくない配置などいろいろ考えて作られている印象 --  &new{2018-10-02 (火) 12:42:57};
-動画見たけど、言われてみれば確かに大音符や16分2連の配置がエトウ譜面っぽいところがあるね。音余りは多いのは分かったけど曲のノリには合ってたし、個人的には上のコメで言われてるほど悪い譜面だとは思わなかったよ --  &new{2018-10-03 (水) 23:22:14};
-短時間でも色んな面でバランス良い譜面作れるんだから、エトウの譜面制作力の高さを再認識した　尖った難しさが良い譜面の条件では無いのが改めて分かった --  &new{2018-10-04 (木) 00:08:38};
//-これエトウって分かったら評価良くなったけど違う人だったら批判続いてた気がする --  &new{2018-10-04 (木) 06:19:41};
//-どうせ批判めいたこと書いてるのって低難易度譜面にケチつけてるいつもの高難易度厨だけだろ --  &new{2018-10-04 (木) 07:47:08};
//-急に手のひらを返した感がある --  &new{2018-10-04 (木) 13:56:34};
//-譜面製作者が誰かわからないときはあんまり良い評価してなかったのにエトウって判明した途端にいやそうでもないかもってなってんの草 --  &new{2018-10-08 (月) 10:17:56};
//-誰だったら文句つけてたんだろう --  &new{2018-10-08 (月) 11:10:06};
//-↑ カワーゲンコラーゲン --  &new{2018-10-08 (月) 11:59:20};
//-↑2　まりも以外の新人譜面ジャー　ていうか低難易度に興味を示さないだけならまだしも、その上グチグチ文句ばっか垂れ流すとか意味わかんね　あと、掌返す返さないは兎も角、一々嫌味ったらしく人の意見嘲笑ったり変に突っ掛かってるのも見ててムカつく--&new{2018-10-08 (月) 12:30:14};
-Switchに配信決定 --  &new{2018-11-01 (木) 10:30:42};
-ps4に配信決定しましたね --  &new{2018-11-16 (金) 09:35:16};
//-↑3　ダメなの？ --  &new{2018-11-16 (金) 16:07:32};
//-↑誰もダメとは言ってなくね --  &new{2018-11-16 (金) 17:40:09};
//-こういう露骨に難易度下げる譜面あるから太鼓は嫌い --  &new{2018-11-18 (日) 17:59:16};
-↑2いつか再録されるとは思ってたけどまさかこんなに早いとはな --  &new{2018-11-18 (日) 18:21:20};
-みくみくとか見ればわかるけど割と音合わせしないこともあるしな --  &new{2018-11-20 (火) 10:37:14};
//-エトウさんって分かった瞬間にベタ褒めされるのを見ると、肩書きとかって大きいんだなぁって思いました。これがしかにーさんとかだったらみんな叩くんでしょうけどね。ひどいものです --  &new{2018-11-20 (火) 10:41:54};
//-↑文句言ってたのは高難易度厨だけ定期 --  &new{2018-11-20 (火) 11:24:54};
//-↑2名指しするお前も大概だけどな --  &new{2018-11-20 (火) 21:29:42};
-と言うか、幾らおに譜面と言えど一般層向けならコレぐらいが良いと思うな。 --  &new{2018-12-12 (水) 18:04:37};
-これ細かく音合わせして複雑な譜面になったらなんか雑、というか荒っぽくなってたと思う --  &new{2019-01-05 (土) 00:52:36};
//-少なくとも4打24分は何ヵ所か入れられただろう --  &new{2019-01-13 (日) 17:13:10};
//-↑どこに？w --  &new{2019-01-13 (日) 17:26:57};
-2本目、3本目の連打秒数いくつ？ --  &new{2019-03-06 (水) 02:56:12};
-なんか曲遅い希ガス --  &new{2019-05-06 (月) 15:41:19};
-これより後に収録されたDRSやウニ、舞DXは本人音源なのになんで太鼓はカバーなんだろうな。ほかの機種より断然儲かってるハズなのに… --  &new{2019-08-21 (水) 04:37:07};
-↑みんなナムコに厳しいんじゃね --  &new{2019-08-21 (水) 07:47:34};
