[[難易度表/おに/愛にできることはまだあるかい(裏譜面)]]

-ひまわりの約束に近い --  &new{2020-02-13 (木) 00:24:50};
-コンボ数加筆 --  &new{2020-02-13 (木) 00:37:40};
-ひまわり+オトッペって感じ？ --  &new{2020-02-13 (木) 06:29:14};
-大音符混ざってるところ見た目エグいな --  &new{2020-02-13 (木) 07:35:03};
-攻略情報追記。 --  &new{2020-02-13 (木) 14:44:24};
//-366日 --  &new{2020-02-13 (木) 15:28:08};
-森熊裏を思い出した --  &new{2020-02-13 (木) 15:37:15};
-逆にこんだけ詰まっててくれた方が低速曲は精度とりやすい。ひまわりの約束みたいなのが一番えげつない --  &new{2020-02-13 (木) 17:13:58};
-もらい泣きに近い？ --  &new{2020-02-13 (木) 18:23:06};
-ACに来るなら細かいスピード調整が役に立つ --  &new{2020-02-14 (金) 07:44:50};
-星8裏譜面にしては平均密度がかなり低いですね --  &new{2020-02-14 (金) 19:22:43};
//-PGXがコメントの返信に「愛にできることはもうないよ」とか書きそう --  &new{2020-02-14 (金) 22:58:40};
-↑平均密度は揺れ無しを前提に約3.72打/秒。むしろこのBPMでは高め。BPM100前後で平均密度3打/秒未満もある。 --  &new{2020-02-14 (金) 23:06:05};
-例のHS軍と比べて0.5倍もかからないし、見た目も最高で210しかないから暗記いらないし良心的に見える --  &new{2020-02-15 (土) 02:38:02};
-JAEPOの時って裏譜面ありましたっけ（あるなら情報表に加筆します） --  &new{2020-02-15 (土) 12:59:04};
-↑ないよ　JAEPOのときはほとんどの裏譜面遊べなかった --  &new{2020-02-24 (月) 08:49:30};
-もりくま裏というより終盤の急加速っぷりで366日を思い出した --  &new{2020-03-15 (日) 20:04:20};
-初見だったから、倍速かけてしまって最後速くて焦ったw --  &new{2020-03-24 (火) 18:04:57};
-ACなら細かい速度調整で丁度良い感じで出来る --  &new{2020-03-24 (火) 18:31:43};
-これの倍でた楽しいな --  &new{2020-03-26 (木) 00:26:21};
-裏譜面は表譜面とは異なるコンセプトをもたされがち、それゆえコンセプトに対応出来るか否かで難易度別れがち、でもこれが裏譜面としてはありガチ。 --  &new{2020-04-22 (水) 00:29:43};
