[[難易度表/おに/ドローイン☆ドリーム！]]

-50小節目が★8としては難しい --  &new{2020-06-11 (木) 00:19:32};
-天井点めっちゃ低くね？全良必須 --  &new{2020-06-11 (木) 00:41:59};
-攻略を簡単に書きました。適宜推敲していただけますと幸いです。 --  &new{2020-06-11 (木) 01:35:57};
-↑3言う程か？ddddkkdなんてよく見ると思うぞ --  &new{2020-06-11 (木) 08:00:25};
-↑この速さで来ることが問題だと思うんだが。接続難易度は☆10 --  &new{2020-06-11 (木) 10:22:00};
-むずかしいのコンボ比はおにを100として86.6。最近にしては高め。配置変更や複合の複雑化に難易度を持っていったか。 --  &new{2020-06-11 (木) 11:20:27};
-重金属と同じ速さの16分… --  &new{2020-06-11 (木) 14:25:15};
-完全精度曲。 --  &new{2020-06-11 (木) 17:59:59};
-● ○ ●●○ ● ○● ●○には必ずソフランをかけないといけないっていう決まりでもあるのかね --  &new{2020-06-11 (木) 18:46:38};
-めっちゃ鬼滅の刃っぽい --  &new{2020-06-11 (木) 20:46:19};
-↑2みんな慣れてるのでもう撹乱対象。エンドリ裏のラスゴーの複合はまだ早すぎたけどね。 --  &new{2020-06-11 (木) 21:28:34};
-高速部分があたかも難所のように見せてる譜面だけど、星６のやってみようはこの地帯が１曲通して続いてるというね --  &new{2020-06-11 (木) 23:16:12};
-↑やってみようの16分5打って相当やばかったんだね。てんぢくの24分の処理とBPM10違いなことも含めて --  &new{2020-06-11 (木) 23:50:22};
-通常配点での天井点到達には全良が絶対条件なの書き加えた方が良いと思う --  &new{2020-06-12 (金) 09:37:37};
-↑書き加えました。ついでに真打配点の計算と攻略情報の追記をしました。誤りありましたら修正願います。 --  &new{2020-06-12 (金) 12:55:09};
-↑の編集者ですが、真打配点の天井点の条件が誤っていたので修正しました。 --  &new{2020-06-12 (金) 15:55:03};
-ブンパソングみたいに1ヶ所がめちゃむずいやつ --  &new{2020-06-13 (土) 23:00:28};
-高速地帯は7連打以外はむずかしいの方がやり辛い --  &new{2020-12-04 (金) 23:05:06};
-AC来てほしい --  &new{2021-09-17 (金) 00:35:49};
-強化版ユウガオノキミってところかな --  &new{2022-01-22 (土) 13:46:59};
-IOS配信決定 7月1日から --  &new{2022-06-17 (金) 12:43:26};
//-何も知らずにやったら50小節で無事氏亡。アーケードでも叩きたいな。 --  &new{2022-07-05 (火) 07:40:53};
