[[難易度表/おに/だから僕は音楽を辞めた]]

-NS1配信 --  &new{2021-03-04 (木) 17:19:10};
-↑この報告をするまでコメント無かったのかよ... --  &new{2021-03-04 (木) 18:23:09};
//-だから僕はコメントを辞めた --  &new{2021-03-04 (木) 21:18:18};
//-↑ なぜ？ --  &new{2021-03-04 (木) 21:46:08};
-↑裏あるし影薄いんだな --  &new{2021-03-04 (木) 22:21:18};
-曲IDも記載してほしいです --  &new{2021-03-11 (木) 00:05:52};
-むずかしい以下の初項と公差を書いてほしいです --  &new{2021-03-17 (水) 18:04:11};
-☆6なのにリッジみたいな複合でてきて意外だった。難しい --  &new{2021-10-23 (土) 18:57:23};
-NS2にてデフォルト --  &new{2022-02-12 (土) 14:17:25};
-今年の初段、2,3曲目のコンボ数多いから、1曲目これかも --  &new{2022-05-23 (月) 12:22:18};
//-今年の初段、2,3曲目のコンボ数多いから、1曲目これかも --  &new{2022-05-23 (月) 12:22:19};
-NS2はカバーに変わる --  &new{2022-08-23 (火) 21:57:05};
-カバー版の譜面画像も作成した方がいいですか？ --  &new{2022-09-22 (木) 04:36:23};
-もしかしてヨルシカ曲のサヨナラが近い伏線…？ --  &new{2022-09-22 (木) 09:49:43};
-NS2のオート動画ってありますかね、むずかしい譜面とかならまだしも鬼譜面ならまだ需要あると思いますし --  &new{2022-09-22 (木) 17:29:15};
-ただ君に晴れと同アーティストであること、うっせえわや秒針を噛むなど他曲にならって作者の代表曲を幾つか追記 --  &new{2022-09-22 (木) 17:48:11};
-↑別に作らなくていいよ 紅蓮の弓矢はカバー版の画像ミスった結果注釈が増えて冗長になってるし --  &new{2022-09-22 (木) 17:49:38};
-↑恐らく譜面画像のことですよね？了解です --  &new{2022-09-23 (金) 16:18:49};
-カバー担当の人って誰でしたっけ？ --  &new{2022-09-28 (水) 18:06:50};
