[[難易度表/おに/月光花]]

//-かなり遅れましたがリクした者です；　ありがとうございます！ --  &new{2011-05-18 (水) 22:34:13};
//-なつかしいな。これよう見てたな。 --  &new{2011-09-04 (日) 22:43:09};
//-ポップンでは最弱曲 --  &new{2014-01-09 (木) 17:01:13};
//-↑無い。詐称 --  &new{2014-07-25 (金) 12:30:22};
-16小節の譜面が曲の伴奏に合ってないのが気になる --  &new{2016-03-08 (火) 03:43:27};
-本人音源ではないという説明を追加。あってますよね？ --  &new{2016-06-06 (月) 11:51:43};
-本人音源に似ていますけど、おそらくカバーであっています。 --  &new{2016-06-06 (月) 12:39:27};
//-復活願う。 --  &new{2016-08-21 (日) 20:26:29};
-もし本人だったらジャンヌの管轄下の会社からしてミュートかブロックにされる --  &new{2016-08-22 (月) 00:23:31};
//-↑1 その場合は所属事務所にお金を払うでしょうけどね --  &new{2016-11-14 (月) 13:29:42};
-倍速は黒薔薇と同速 --  &new{2017-05-31 (水) 20:11:26};
-「ばいそく」をかけるのも1つの手←ばいそくではプレイできない件 --  &new{2017-06-04 (日) 12:31:29};
//-↑3プレイ動画のために金払うわけがない --  &new{2017-09-20 (水) 21:53:14};
-この曲は再録されてもJ-POPには移らなさそう --  &new{2018-03-24 (土) 22:51:00};
-ka-yu脱退及びグルーブ解散情報追加。 --  &new{2019-04-01 (月) 22:39:25};
-今でも6はあるでしょ --  &new{2021-11-27 (土) 16:44:28};
-再録来ましたね、紅みたいに譜面修正されるかな？ --  &new{2022-03-18 (金) 19:29:19};
-好きな譜面だったけど絶対今後入らないだろうなと思ってた --  &new{2022-03-19 (土) 02:05:22};
-16年ぶりかな？ --  &new{2022-03-19 (土) 06:41:42};
-手塚治虫作品の曲をまた遊べる日が来るとは……！ --  &new{2022-03-19 (土) 08:37:32};
-☆6に昇格してました --  &new{2022-04-01 (金) 16:45:56};
-16小節間違えたまんまなのか --  &new{2022-04-01 (金) 18:31:50};
-ぶっちゃけ本当のリズムと違うって言われても大して気にならん --  &new{2022-04-01 (金) 22:02:18};
-元の「jd」(Janne Da Arc)から「jdgekk」(JD月光花)にしたってことはいつか他のJanne Da Arc曲も来たりするのかな --  &new{2022-04-01 (金) 22:18:02};
-iOSでもアニメジャンル続投です --  &new{2022-04-02 (土) 22:58:44};
-↑2 ロビンソンのIDがspitzそのもので他も来てるから何とも言えなさそう --  &new{2022-04-03 (日) 01:10:32};
-謎昇格 --  &new{2022-08-02 (火) 08:31:48};
-個人的にBメロ本家超えしてると思う --  &new{2022-09-13 (火) 16:15:01};
