[[難易度表/おに/赤と白薔薇の魔女]]

-やばいのきたな --  &new{2021-03-25 (木) 08:56:51};
-なんじゃこりゃ… --  &new{2021-03-25 (木) 09:02:28};
-BPMは220くらいか？ --  &new{2021-03-25 (木) 09:05:59};
-史上初の1111コンボ　ついに来てしまったか… --  &new{2021-03-25 (木) 09:26:06};
-ラスゴーの複合は273連打　しかも24分が最初に混ざっててそれをBPM220で叩かされるっていう.. --  &new{2021-03-25 (木) 09:29:15};
-公募のときより音源が短くなってない？ --  &new{2021-03-25 (木) 09:43:04};
-平均密度やばいな --  &new{2021-03-25 (木) 09:44:15};
-↑ざっと計算すると9.6くらい --  &new{2021-03-25 (木) 10:02:32};
-点数も1011010点で1111が隠れてるな --  &new{2021-03-25 (木) 11:37:05};
-16分273連打でもやわらか戦車には及ばないな --  &new{2021-03-25 (木) 11:49:07};
-鳩みたいな16分と24分の絡みがいっぱいあるな --  &new{2021-03-25 (木) 11:52:52};
-一回トチるとゲージが溶けてくな --  &new{2021-03-25 (木) 12:16:43};
-こりゃやってるわ --  &new{2021-03-25 (木) 12:19:58};
-表譜面での4桁コンボは幕末維新譚以来1年1ヶ月ぶり --  &new{2021-03-25 (木) 12:37:16};
-これの登場により平均密度Top10の曲は全て平均密度9超えの曲だけになった。 --  &new{2021-03-25 (木) 12:42:00};
-フルコン称号かっこいいな…… --  &new{2021-03-25 (木) 13:01:18};
-ビクス裏と夜明けといいこれといい、今回の公募曲のBPM200前半のやつ予想より難しくなりがち --  &new{2021-03-25 (木) 13:09:08};
-いかづちの上位互換？ --  &new{2021-03-25 (木) 13:15:40};
//-ふと思ったけど、この曲の略称ってどうなるんだろ？単に「白薔薇」だとWhite Rose Insanityと被るし --  &new{2021-03-25 (木) 13:15:59};
//-桃薔薇が人気らしい --  &new{2021-03-25 (木) 13:20:22};
//-↑なるほど、確かに赤と白混ぜたら桃色だしね --  &new{2021-03-25 (木) 13:23:59};
//-そういうとんち略称分かりづらいだけだから魔女薔薇とかでいいよ --  &new{2021-03-25 (木) 13:25:24};
//-薔薇魔女じゃね？やっぱ --  &new{2021-03-25 (木) 13:26:07};
//-闇の魔法少女がやみまならバラマでよくない？ --  &new{2021-03-25 (木) 13:26:43};
//-お前らほんと略称考えるの好きだよな --  &new{2021-03-25 (木) 13:36:10};
//-pink rose witch　 --  &new{2021-03-25 (木) 13:40:11};
//-分かりづらい略称のほうが通ぶれるし初心者マウント取れるからな --  &new{2021-03-25 (木) 14:07:49};
-平均密度かなり高いと思われる --  &new{2021-03-25 (木) 14:13:06};
-密度高すぎ。 --  &new{2021-03-25 (木) 14:49:21};
-↑大体9打後半くらいかな？ --  &new{2021-03-25 (木) 15:32:33};
-かつてのストライドと同じかやや上のむずかしいとはえらい違いだな。 --  &new{2021-03-25 (木) 15:35:46};
-複合ラッシュも疲れるしその後の何箇所もある鳩みたいな複合も地味に体力削れるしそっからあの長複合なの地獄すぎる。体感アンハ超えてる --  &new{2021-03-25 (木) 15:44:31};
//-薔薇魔女が一番分かりやすい --  &new{2021-03-25 (木) 15:45:30};
-絵に描いたような体力特化譜面 --  &new{2021-03-25 (木) 16:02:55};
-赤「と」白薔薇の魔女ってタイトルに引かれてだろうけど中世ロシアっぽい雰囲気 --  &new{2021-03-25 (木) 16:07:15};
-Vixtory裏も衝撃強かったけどこれも中々衝撃が強い。でも体力とシングルあればフルコンは簡単かな --  &new{2021-03-25 (木) 16:21:28};
-一応平均密度追加しました　間違ってたら直してください --  &new{2021-03-25 (木) 16:25:44};
-むずかしいが唯一まともだった --  &new{2021-03-25 (木) 17:22:59};
-↑CoquetteやENRとおなじくらいのむずかしい〜おに間の難易度差。当然だけどかのストライドおに(☆5)よりはマシ。 --  &new{2021-03-25 (木) 17:25:26};
-ヴァーナス勢殺し --  &new{2021-03-25 (木) 18:06:34};
-アンハどころじゃないわ、クリアならチャリともタメはれそう --  &new{2021-03-25 (木) 18:10:01};
//-略称は紅白薔薇合戦って友人が言っていた --  &new{2021-03-25 (木) 18:36:59};
-24分のせいで体力だけだとフルできない --  &new{2021-03-25 (木) 18:40:28};
-流石にチャリまではいかないや　アンハよりちょい上くらい --  &new{2021-03-25 (木) 18:43:12};
//-もう略称のことはいいよしつこい --  &new{2021-03-25 (木) 18:49:55};
//-↑ --  &new{2021-03-25 (木) 18:51:29};
//-別にいいやん笑 --  &new{2021-03-25 (木) 18:52:12};
-ど　う　し　て　こ　う　な　っ　た --  &new{2021-03-25 (木) 19:40:08};
-誰もが見るとこなので発言の仕方には気をつけていただけるとありがたいです --  &new{2021-03-25 (木) 19:46:36};
-公式（一部）全音取り --  &new{2021-03-25 (木) 20:31:13};
-現時点で1075コンボの完全精度譜面がないため、AC16天井点が101万の完全精度譜面では最少コンボである --  &new{2021-03-25 (木) 21:25:35};
