|CENTER:BGCOLOR(#d0d8e0):曲名|CENTER:BGCOLOR(#d15136):COLOR(#fff):''かん&br;たん''|CENTER:BGCOLOR(#6c9658):COLOR(#fff):''ふつう''|CENTER:BGCOLOR(#2b6a7e):COLOR(#fff):''むずか&br;しい''|CENTER:BGCOLOR(#dcaf2c):COLOR(#fff):''ドンだ&br;フル！''|
|アイアイ|74|未収録|未収録|74|
|詠人（うたびと)|73|未収録|未収録|73|
|炭坑節|138|未収録|未収録|138|
|アンパンマンのマーチ|93|261|未収録|261|
|箱根八里の半次郎|111|144|未収録|144|
|おどるポンポコリン|189|293|未収録|293|
|どんちゃん音頭|未収録|161|未収録|161|
|ハロー！どんちゃん|未収録|未収録|未収録|189|
|太陽もヤッパッパー|未収録|未収録|未収録|230|
|マッピー音頭|未収録|194|未収録|194|
|ラブユー☆どんちゃん|未収録|未収録|未収録|358|
|恋をしちゃいました！|未収録|164|233|260|
|ドラえもん音頭|101|151|253|282|
|大ちゃん数え唄|未収録|182|226|238|
|ちょこっとLOVE|未収録|259|387|366|
|オフ&#9832;ロック|未収録|未収録|未収録|244|
|チュッ！夏パ〜ティ|134|168|263|263|
|サマーれげぇ！レインボー|151|174|226|289|
|シンクロナイズド・ラブ|未収録|未収録|273|329|
|明日があるさ|未収録|224|307|307|
|いい湯だな|116|207|288|287|
|君に、ロマンティック。|未収録|未収録|未収録|263|
|地獄の太鼓事典|未収録|未収録|未収録|324|
|ミニモニ。ジャンケンぴょん！|154|249|339|414|
|LOVEマシーン|150|220|344|302|
|炎のファイター|未収録|314|360|360|
|恋愛レボリューション21|未収録|210|376|376|
|サザエさん一家|69|117|249|249|
|翔べ！ガンダム|未収録|182|365|365|
|ルパン三世のテーマ'78|132|178|293|281|
|夏祭り|172|312|389|361|
|ダンシング！夏祭り|100|210|295|295|
|ultra soul|164|285|407|407|
|ガッチャマンの歌|未収録|225|339|339|
|ゴーゴー・キッチン|未収録|未収録|518|518|
|ラブリーX|未収録|未収録|489|489|
