|CENTER:BGCOLOR(#d0d8e0):曲名|CENTER:BGCOLOR(#d15136):COLOR(#fff):''かん&br;たん''|CENTER:BGCOLOR(#6c9658):COLOR(#fff):''ふつう''|CENTER:BGCOLOR(#2b6a7e):COLOR(#fff):''むずか&br;しい''|CENTER:BGCOLOR(#dcaf2c):COLOR(#fff):''ドンだ&br;フル！''|
|もりのくまさん|97|107|197|197|
|クラリネットをこわしちゃった|99|129|221|267|
|ソーラン節|129|137|188|188|
|UFO|128|159|261|261|
|負けないで|100|119|169|169|
|アンパンマンのマーチ|93|261|390|400|
|サザエさん|83|115|217|291|
|ドラえもんのうた|85|131|215|300|
|クラシックメドレー(運動会編)|169|208|344|344|
|ハム太郎とっとこうた|87|131|268|338|
|大切なもの|161|216|281|331|
|ルパン三世のテーマ'78|132|178|293|313|
|チャレンジャー!!|93|136|267|270|
|上海ハニー|131|198|283|303|
|交響曲第5番「運命」|169|275|414|414|
|タッチ|102|142|242|300|
|おもちゃのチャチャチャ|124|172|279|343|
|宇宙戦艦ヤマト|148|244|381|451|
|DANZEN!ふたりはプリキュア|96|139|206|309|
|葛飾ラプソディ〜ヤムヤムVersion〜|80|114|210|296|
|青い珊瑚礁|114|144|240|240|
|夏色|81|118|229|301|
|Sunny Day Sunday|122|133|211|301|
|もらい泣き|103|133|241|334|
|ウィリアム・テル序曲|155|277|434|438|
|和太鼓戦隊ドンレンジャー|未収録|223|339|364|
|特捜戦隊デカレンジャー|86|142|194|376|
|夏祭り|135|172|389|488|
|そばかす|100|127|220|277|
|TRAIN-TRAIN|237|358|439|529|
|いぬのおまわりさん|98|137|220|328|
|BON VOYAGE!|91|155|278|340|
|GO!!!|143|200|251|419|
|ミッキーマウスマーチ|136|215|295|488|
|エレクトリカルパレード|112|147|278|517|
|Get Wild|108|166|236|381|
|カルメン 組曲1番終曲|147|262|388|518|
|ラブリーX|未収録|402|485|489|
|ゴーゴー・キッチン|未収録|374|558|558|
|Rhythm and Police|122|184|322|353|
|ドラゴンスピリットメドレー|未収録|368|671|671|
|天体観測|132|189|262|405|
|SHAKE|92|158|259|341|
|大迷惑|107|150|302|351|
|日本ブレイク工業社歌|179|217|338|343|
|ラムのラブソング|124|192|274|405|
|自由|175|210|360|483|
|さくらんぼ|114|143|203|311|
|ソウルキャリバー��|未収録|181|320|471|
|クラシックメドレー(ロック編)|未収録|274|381|381|
|太鼓侍|未収録|268|519|519|
|風雲！バチお先生|未収録|245|476|476|
|サタデー太鼓フィーバー|未収録|177|437|437|
|KAGEKIYO 源平討魔伝メドレー|未収録|412|616|765|
|メカデス。|未収録|298|390|506|
|さいたま2000|未収録|366|489|570|
|Ridge Racer|未収録|331|733|733|
|スクロール・ミカ|未収録|414|618|765|
