*スタンプ帳 [#title]
|CENTER:|||||c
|No.|スタンプ名|>|条件|ドン小判|h
|1|太鼓カウンター1000|太鼓カウンター|1000発|5枚|
|2|太鼓カウンター2000|~|2000発|5枚|
|3|太鼓カウンター3000|~|3000発|5枚|
|4|太鼓カウンター4000|~|4000発|5枚|
|5|太鼓カウンター5000|~|5000発|5枚|
|6|太鼓カウンター6000|~|6000発|5枚|
|7|太鼓カウンター7000|~|7000発|5枚|
|8|太鼓カウンター8000|~|8000発|5枚|
|9|太鼓カウンター9000|~|9000発|5枚|
|10|太鼓カウンター10000|~|10000発|5枚|
|11|太鼓カウンター20000|~|20000発|10枚|
|12|太鼓カウンター30000|~|30000発|10枚|
|13|太鼓カウンター40000|~|40000発|10枚|
|14|太鼓カウンター50000|~|50000発|10枚|
|15|太鼓カウンター60000|~|60000発|10枚|
|16|太鼓カウンター76500|~|76500発|20枚|
|17|太鼓カウンター87600|~|87600発|30枚|
|18|太鼓カウンター150000|~|150000発|35枚|
|19|太鼓カウンター300000|~|300000発|40枚|
|20|太鼓カウンター600000|~|600000発|45枚|
|21|太鼓カウンター999999|~|999999発|50枚|
|22|コンボ10|最大コンボ数|10|1枚|
|23|コンボ50|~|50|2枚|
|24|コンボ100|~|100|3枚|
|25|コンボ300|~|300|3枚|
|26|コンボ500|~|500|4枚|
|27|コンボ600|~|600|4枚|
|28|コンボ765|~|765|5枚|
|29|コンボ876|~|876|7枚|
|30|コンボ999|~|999|10枚|
|31|ばいそくノルマクリア|オプション付ノルマクリア|ばいそく|2枚|
|32|さんばいノルマクリア|~|さんばい|3枚|
|33|よんばいノルマクリア|~|よんばい|4枚|
|34|きまぐれノルマクリア|~|きまぐれ|2枚|
|35|でたらめノルマクリア|~|でたらめ|4枚|
|36|ドロンノルマクリア|~|ドロン|4枚|
|37|きせかえ入門|たんすにしまった衣装|1着以上でその1着に着替え演奏|3枚|
|38|きせかえ中級コーデ|~|4着以上でその1着に着替え演奏|5枚|
|39|きせかえの達人|~|8着以上でその1着に着替え演奏|7枚|
|40|音色入門|太鼓以外の音色で演奏|1種以上|3枚|
|41|音色中級ミキサー|~|5種以上|5枚|
|42|音色の達人|~|10種以上|7枚|
|43|演奏ゲーム1位入賞|演奏ゲーム1位ランクイン|1回|3枚|
|44|演奏ゲームランカー|~|5回|10枚|
|45|演奏ゲーム殿堂入り|~|10回|10枚|
|46|バトンタッチ1位入賞|バトンタッチ演奏1位ランクイン|1回|3枚|
|47|バトンタッチランカー|~|5回|10枚|
|48|バトンタッチ殿堂入り|~|10回|10枚|
|49|イントロどん初入賞|イントロどん♪ランクイン|1回|3枚|
|50|イントロどんランカー|~|2回|5枚|
|51|イントロどん殿堂入り|~|3回|7枚|
|52|イントロどんマスター|>|イントロどん♪全問正解|12枚|
|53|「J-POP」マスター|ノルマクリア|『J-POP』10曲|10枚|
|54|「アニメ」マスター|~|『アニメ』13曲|10枚|
|55|「バラエティ」マスター|~|『バラエティ』3曲|5枚|
|56|「ボカロ&trade;」マスター|~|『ボーカロイドTM』9曲|9枚|
|57|「クラシック」マスター|~|『クラシック』11曲|12枚|
|58|「ゲーム」マスター|~|『ゲームミュージック』17曲|12枚|
|59|「ナムオリ」マスター|~|『ナムコオリジナル』24曲|16枚|
|60|梅マスター|~|『かんたん』80曲|10枚|
|61|竹マスター|~|『ふつう』80曲|12枚|
|62|松マスター|~|『むずかしい』80曲|14枚|
|63|鬼マスター|~|『おに』80曲|16枚|
|64|梅フルコン1|かんたんフルコンボ|1曲|2枚|
|65|梅フルコン5|~|5曲|3枚|
|66|梅フルコン10|~|10曲|4枚|
|67|梅フルコン30|~|30曲|6枚|
|68|梅フルコン50|~|50曲|8枚|
|69|梅フルコン80|~|80曲|11枚|
|70|竹フルコン1|ふつうフルコンボ|1曲|3枚|
|71|竹フルコン5|~|5曲|4枚|
|72|竹フルコン10|~|10曲|5枚|
|73|竹フルコン30|~|30曲|7枚|
|74|竹フルコン50|~|50曲|9枚|
|75|竹フルコン80|~|80曲|12枚|
|76|松フルコン1|むずかしいフルコンボ|1曲|5枚|
|77|松フルコン5|~|5曲|6枚|
|78|松フルコン10|~|10曲|7枚|
|79|松フルコン30|~|30曲|9枚|
|80|松フルコン50|~|50曲|11枚|
|81|松フルコン80|~|80曲|14枚|
|82|鬼フルコン1|おにフルコンボ|1曲|7枚|
|83|鬼フルコン5|~|5曲|8枚|
|84|鬼フルコン10|~|10曲|9枚|
|85|鬼フルコン30|~|30曲|11枚|
|86|鬼フルコン50|~|50曲|13枚|
|87|鬼フルコン80|~|80曲|16枚|
|88|「全良」1回|全良|1回|5枚|
|89|「全良」3回|~|3回|10枚|
|90|「全良」5回|~|5回|15枚|
|91|連打！連打！連打！|>|連打数300以上|10枚|
|92|はじめてのともだち|かっちゃんが仲良くなったともだちの数|1|5枚|
|93|なかよし1丁目|~|5|10枚|
|94|なかよし2丁目|~|10|10枚|
|95|なかよし3丁目|~|15|15枚|
|96|なかよし4丁目|~|20|15枚|
|97|なかよし5丁目|~|25|20枚|
|98|なかよし6丁目|~|30|20枚|
|99|町内一の人気者|~|36|30枚|
|100|全スタンプ獲得！|>|すべてのスタンプを獲得した|8765枚|
