*隠し要素解禁条件 [#title]
[[DS1の収録曲]]
|CENTER:||||||c
|解禁条件|ごほうび|h
|うなぎの挑戦状　梅その1をクリア|きせかえ・ぼうし「すいちゅうめがね」|
|うなぎの挑戦状　梅その2をクリア|きせかえ・ふく「ハート」|
|うなぎの挑戦状　梅その3をクリア|きせかえ・ふく「ドレス」|
|うなぎの挑戦状　梅その4をクリア|きせかえ・ぼうし「おひめさま」|
|うなぎの挑戦状　梅その5をクリア|きせかえ・ぼうし「とら」|
|~|きせかえ・ふく「とら」|
|うなぎの挑戦状　梅その6をクリア|きせかえ・ぼうし「ねずみ」|
|~|きせかえ・ふく「ねずみ」|
|うなぎの挑戦状　竹その1をクリア|きせかえ・ふく「リボン」|
|うなぎの挑戦状　竹その2をクリア|きせかえ・ぼうし「うま」|
|~|きせかえ・ふく「うま」|
|うなぎの挑戦状　竹その3をクリア|きせかえ・ぼうし「リーゼント」|
|うなぎの挑戦状　竹その4をクリア|きせかえ・ふく「サンタのふく」|
|うなぎの挑戦状　竹その5をクリア|きせかえ・ぼうし「まきがみ」|
|うなぎの挑戦状　竹その6をクリア|きせかえ・ぼうし「たつ」|
|~|きせかえ・ふく「たつ」|
|うなぎの挑戦状　松その1をクリア|きせかえ・ぼうし「ひつじ」|
|~|きせかえ・ふく「ひつじ」|
|うなぎの挑戦状　松その2をクリア|きせかえ・ぼうし「とり」|
|~|きせかえ・ふく「とり」|
|うなぎの挑戦状　松その3をクリア|きせかえ・ぼうし「さる」|
|~|きせかえ・ふく「さる」|
|うなぎの挑戦状　松その4をクリア|きせかえ・ぼうし「へび」|
|~|きせかえ・ふく「へび」|
|うなぎの挑戦状　松その5をクリア|きせかえ・ぼうし「いのしし」|
|~|きせかえ・ふく「いのしし」|
|うなぎの挑戦状　松その6をクリア|きせかえ・ぼうし「うし」|
|~|きせかえ・ふく「うし」|
|うなぎの挑戦状　松その7をクリア|きせかえ・ふく「はらまき」|
|うなぎの挑戦状　松その8クリア|きせかえ・ふく「はっぴ（あお）」|
|~|きせかえ・ふく「はっぴ（あか）」|
|うなぎの挑戦状　松その9をクリア|きせかえ・ふく「てんしのはね」|
|うなぎの挑戦状　鬼その1をクリア|きせかえ・ふく「あくまのはね」|
|うなぎの挑戦状　鬼その2をクリア|きせかえ・ふく「ギター」|
|うなぎの挑戦状　鬼その3をクリア|きせかえ・ぼうし「シルクハット」|
|うなぎの挑戦状　鬼その4をクリア|きせかえ・ふく「はらがけ（あか）」|
|~|きせかえ・ふく「はらがけ（あお）」|
|うなぎの挑戦状　鬼その5をクリア|きせかえ・ぼうし「せんす（あか）」|
|~|きせかえ・ふく「はかま（あお）」|
|うなぎの挑戦状　鬼その6をクリア|きせかえ・ふく「エビフライ」|
|うなぎの挑戦状　鬼その7をクリア|きせかえ・ふく「ふじさん」|
|うなぎの挑戦状　鬼その8をクリア|きせかえ・ぼうし「にんじゃ（あお）」|
|~|きせかえ・ふく「にんじゃ（あか）」|
|うなぎの挑戦状　鬼その9をクリア|きせかえ・ふく「2000」|
|演奏ゲームではじめてノルマクリア|きせかえ・ふく「うきわ」|
|王冠18個ゲット|楽曲「[[幻想即興曲>難易度表/おに/幻想即興曲]]」|
|王冠100個ゲット|きせかえ・ぼうし「にんじゃ（あか）」|
|~|きせかえ・ふく「にんじゃ(あお)」|
|王冠130個ゲット|音色「ラップ」|
|王冠140個ゲット|きせかえ・ぼうし「あくまのつの」|
|演奏ゲームを難易度かんたんで30曲ノルマクリア|オプション「あべこべ」|
|演奏ゲームを難易度ふつうで30曲ノルマクリア|オプション「ドロン」|
|演奏ゲームを難易度むずかしいで30曲ノルマクリア|オプション「よんばい」|
|演奏ゲームを難易度おにで30曲ノルマクリア|オプション「かんぺき」|
|毎日うでだめし道場で段位が「九級」になった|音色「カミナリ太鼓」|
|毎日うでだめし道場で段位が「七級」になった|楽曲「[[黒船来航>難易度表/おに/黒船来航]]」|
|毎日うでだめし道場で段位が「五級」になった|音色「野球」|
|毎日うでだめし道場で段位が「三級」になった|音色「カミナリ太鼓」|
|毎日うでだめし道場で段位が「一級」になった|楽曲「[[太鼓乱舞　炎の巻>難易度表/おに/太鼓乱舞 皆伝]]」|
|毎日うでだめし道場で段位が「二段」になった|音色「和田どん」|
|毎日うでだめし道場で段位が「四段」になった|音色「じほう」|
|毎日うでだめし道場で段位が「六段」になった|音色「いぬねこ」|
|毎日うでだめし道場で段位が「八段」になった|楽曲「[[太鼓乱舞　風の巻>難易度表/おに/太鼓乱舞 皆伝]]」|
|毎日うでだめし道場で段位が「十段 」になった|音色「コンガ」|
|毎日うでだめし道場で段位が「超人」になった|音色「おすもうさん」|
|毎日うでだめし道場で段位が「大名人」になった|音色「レンジ」|
|毎日うでだめし道場で段位が「大達人」になった|楽曲「[[太鼓乱舞　水の巻>難易度表/おに/太鼓乱舞 皆伝]]」|
|和田イヌからメールをもらう|きせかえ・ぼうし「いぬ」|
|~|きせかえ・ふく「いぬ」|
|テツオからメールをもらう|きせかえ・ふく「ちびどん」|
|イカからメールをもらう|きせかえ・ふく「こいのぼり」|
|すずどんからメールをもらう|きせかえ・ぼうし「どんぶり」|
|演奏ゲームを難易度むずかしいで20曲ノルマクリア|難易度「おに」|
|プレイ開始から2日経過|音色「パックマン」|
|プレイ開始から3日経過|きせかえ・ぼうし「ちょんまげ」|
|プレイ開始から4日経過|きせかえ・ぼうし「カレー」|
|プレイ開始から6日経過|楽曲「[[てんぢく2000>難易度表/おに/てんぢく2000]]」|
----
**その他 [#other]
-段位は、毎日うでだめし道場で上げることができる。
-音色・きせかえは演奏ゲームで王冠を集めると増えていく。
