[[難易度表/おに/「ポケットモンスター オメガルビー・アルファサファイア」]]

//-これは良譜面だった --  &new{2014-12-09 (火) 22:56:27};
-なんか裏が強すぎるせいで影薄いな  正直こっちの方が楽しい --  &new{2014-12-10 (水) 17:11:59};
-悪くはないけど無理に易化させた感も否めない --  &new{2014-12-10 (水) 17:23:53};
-今までのポケモンメドレーと譜面が若干似てる部分あるな --  &new{2014-12-10 (水) 21:39:24};
-高速なむずかしい★8の典型的な譜面だな --  &new{2014-12-12 (金) 04:05:10};
-後半の三連打ラッシュは意外ときつい --  &new{2014-12-12 (金) 23:41:28};
-譜面をうp。 --  &new{2014-12-24 (水) 12:33:20};
-原曲情報追加。曲の正式名称があるなら。追記して下さい。 --  &new{2014-12-30 (火) 08:44:06};
-メドレー順追加 --  &new{2015-01-24 (土) 15:48:37};
-原曲というのは、一番最初に出た曲のこと。このゲームはリメイク作品なので、当然楽曲もリメイク、アレンジされている。 --  &new{2015-01-24 (土) 18:21:10};
//-公式サイトの曲名が「チャンピオンメドレー」、サブタイトルが「ポケットモンスター　オメガルビー・アルファサファイア」になっています。　裏譜面の表記もありません。 --  &new{2015-01-30 (金) 20:40:43};
//-↑　公式サイトの誤植(と思われるもの)をここで言われても・・・ --  &new{2015-01-30 (金) 21:16:41};
//-↑　失礼しました。削除お願いします。 --  &new{2015-01-31 (土) 08:45:28};
//-↑1,2,3　コメント削除してください。まだ削除されていません。 --  &new{2015-02-11 (水) 11:53:37};
//-譜面ワンパターン多すぎ --  &new{2015-07-04 (土) 20:24:23};
-↑修正してみました。これでどうでしょうか？ --  &new{2015-08-24 (月) 22:23:18};
-BPMを修正。 --  &new{2015-10-13 (火) 18:27:52};
-XY&Zが収録確定したのでポケモン曲全体のBPM最速の座はあちらという事に --  &new{2016-01-15 (金) 20:32:11};
//-裏返ると恐ろしいことになる！ --  &new{2016-06-05 (日) 07:54:21};
//-言い過ぎかな？ --  &new{2016-06-05 (日) 07:54:43};
//-↑はいはい名人様乙 --  &new{2016-06-05 (日) 08:10:48};
-16分は単色の3打しかないのに逆詐称ってならないのがすごい --  &new{2016-09-21 (水) 20:42:45};
-これも裏返ると絶対に返り討ちに遭うから注意事項がほしいところです --  &new{2017-02-05 (日) 17:41:12};
-↑2 bpmが速いから☆7妥当ですよ --  &new{2017-05-20 (土) 15:56:24};
-サンムーンが逆詐称気味だけど、こちらが詐称な気がする。 --  &new{2017-07-15 (土) 05:52:53};
-↑どちらかというと、こっちが詐称。向こうは微妙 --  &new{2017-07-15 (土) 05:53:20};
-この曲のむずかしい譜面以上はやりごたえがあって人気ですが、音源聴くと改めてめちゃカッコいいですね。 --  &new{2019-03-04 (月) 02:15:37};
-オート動画が広告付きだったのでプレイ動画に変更 --  &new{2019-03-14 (木) 11:16:51};
-最後のラッシュがきたさいたま(むずかしい)を髣髴とさせる --  &new{2019-05-25 (土) 22:11:50};
-10月24日サヨナラ --  &new{2019-09-24 (火) 16:25:56};
-BDSPの曲来たらそっちもチャンピオンメドレーになるんだろうか --  &new{2021-11-26 (金) 23:34:42};
