[[段位道場/ニジイロ2020/三段]]

-FlyAwayで合格もFlyAwayしました --  &new{2020-07-04 (土) 21:18:08};
-↑おめでとう！今作の四段はガチで難しいから、先に☆9の劇運とか、指先、スパダイ裏や消失裏で地力を高めるといいよ！ --  &new{2020-07-04 (土) 21:24:15};
-↑ハッピークルーはキツい、せめて天狗囃子か蛸蛸が魂クリアできてからの方がいい。 --  &new{2020-07-04 (土) 21:26:54};
-補足記載 --  &new{2020-07-17 (金) 23:18:55};
//-普通にどれもフルコンせずに金合格行ったんだけど、対策の文章いるか？ --  &new{2020-07-19 (日) 19:35:28};
-ギリギリグリーン2段だった俺がクリア出来ました。嬉しいです。 --  &new{2020-07-23 (木) 17:38:42};
-シャルルフルコンで合格した。黄色連打条件はレッドでつけて不評だったよな。 --  &new{2020-07-29 (水) 20:49:34};
//-アルテイルフルコンしたのに残り7コンボ残してシャルルで切れたし、シャルルからfly awayなんとか繋いだと思ったら550コンぼ位で切れたからめっちゃ悔しかった・・・シャルルげーだったわ(シャルル後半コンボ稼いだらあっさり金条件まで届いた) --  &new{2020-07-29 (水) 21:10:57};
-アルテイルフルコンしたのに残り7コンボ残してシャルルで切れたし、シャルルからfly awayなんとか繋いだと思ったら550コンぼ位で切れたからめっちゃ悔しかった・・・シャルルげーだったわ(シャルル後半コンボ稼いだらあっさり金条件まで届いた) --  &new{2020-07-29 (水) 21:10:58};
//-今日三段うかりました！「＾＾」 --  &new{2020-08-05 (水) 17:36:44};
-コンボ数条件撤廃したら…いや地力三段はいるわ。あと精度だけど、これなら多分可375未満で赤、250未満で金合格なら甘々って言われそうな。 --  &new{2020-08-05 (水) 17:52:21};
-76“4” --  &new{2020-09-04 (金) 22:10:39};
