|CENTER:BGCOLOR(#d0d8e0):曲名|CENTER:BGCOLOR(#d15136):COLOR(#fff):''かん&br;たん''|CENTER:BGCOLOR(#6c9658):COLOR(#fff):''ふつう''|CENTER:BGCOLOR(#2b6a7e):COLOR(#fff):''むずか&br;しい''|CENTER:BGCOLOR(#dcaf2c):COLOR(#fff):''ドンだ&br;フル！''|
|アイアイ|74|未収録|未収録|74|
|炭坑節|138|未収録|未収録|138|
|アンパンマンのマーチ|93|261|未収録|261|
|ラジオ体操第一|169|未収録|未収録|169|
|クラシックメドレー(運動会編)|169|未収録|未収録|169|
|すすめ！ドリラー|未収録|216|未収録|216|
|愛のうた 〜ピクミンのテーマ|82|90|未収録|90|
|PIECES OF A DREAM|147|180|273|180|
|ミニモニ。テレフォン！リンリンリン|192|225|未収録|225|
|どんちゃん音頭|未収録|未収録|未収録|161|
|ハロー！どんちゃん|未収録|未収録|未収録|189|
|ガッツだぜ！！|152|345|345|345|
|マッピー音頭|未収録|未収録|未収録|188|
|ドラえもん音頭|101|151|253|282|
|ムーンライト伝説|144|183|351|351|
|traveling|164|169|383|383|
|Mr.Moonlight〜愛のビッグバンド〜|125|161|214|214|
|WE ARE THE CHAMP|153|219|389|389|
|大ちゃん数え唄|未収録|182|226|238|
|どんちゃんえかき歌|未収録|未収録|未収録|199|
|太鼓の達人・愛のテーマ|未収録|未収録|未収録|251|
|ハム太郎とっとこうた|87|131|268|268|
|LOVE涙色|138|182|259|259|
|残酷な天使のテーゼ|未収録|162|278|278|
|学園天国|未収録|162|206|206|
|そうだ！We're ALIVE|239|284|371|371|
|いい湯だな|116|207|288|287|
|明日があるさ|未収録|224|307|307|
|波乗りジョニー|167|238|321|321|
|たのしい太鼓道場|未収録|未収録|340|361|
|LOVEマシーン|150|220|344|302|
|サザエさん一家|69|117|249|249|
|虹色・夢色・太鼓色|未収録|未収録|245|245|
|Marionette-マリオネット-|未収録|221|325|342|
|ルパン三世のテーマ'78|132|178|282|293|
|翔べ！ガンダム|未収録|182|365|365|
|夏祭り|172|312|389|361|
|ガッチャマンの歌|未収録|225|339|339|
|UNITE！|101|179|436|478|
|ラブリーX|未収録|未収録|未収録|489|
|ゴーゴー・キッチン|未収録|未収録|未収録|518|
|クラシックメドレー(ロック編)|未収録|未収録|381|381|
|太鼓侍|未収録|未収録|519|519|
|風雲！バチお先生|未収録|未収録|476|476|
