|¶ÊÌ¾|¤«¤ó¤¿¤ó|¤Õ¤Ä¤¦|¤à¤º¤«¤·¤¤|¤ª¤Ë|
| ¥É¥é¥´¥ó¥¹¥Ô¥ê¥Ã¥È¥á¥É¥ì¡¼ |197|368|671|671|
| ¥É¥ë¥¢¡¼¥¬¤ÎÅã¥á¥É¥ì¡¼ |212|269|607|682|
| ¤â¤¸¤Ô¤Ã¤¿¤ó¥á¥É¥ì¡¼ |201|261|338|487|
| KAGEKIYO |244|412|616|765|
| ÂçÂÇ²» |198|282|460|620|
| ¥ï¥ó¥À¡¼¥â¥â¡¼¥¤ |196|283|436|550|
| ¿¿¡¦²èÎµÅÀâÍ |169|227|376|585|
| ·î²¼Èþ¿Í |164|287|483|832|
| ¥µ¥¿¥Ç¡¼ÂÀ¸Ý¥Õ¥£¡¼¥Ð¡¼ |100|169|333|437|
| ¥á¥«¥Ç¥¹¡£ |127|270|392|483|
| É÷±À¡ª¥Ð¥Á¤ªÀèÀ¸ |182|245|476|476|
| ·Ú¤¤¤¶¤ï¤á¤­ |105|172|408|551|
| ÂîµådeÃ¦±± |165|259|461|621|
| ¥±¥Á¥ã¥É¥ó2000 |189|230|437|502|
| ¤µ¤¤¤¿¤Þ2000 |252|366|489|570|
| ¤­¤¿¤µ¤¤¤¿¤Þ2000 |222|305|615|802|
| ÎøÊ¸2000 |300|400|666|777|
| ¥¿¥Ù¥ë¥Ê2000 |227|358|640|821|
| ½½ÏªÈ×2000 |241|309|585|765|
| ¥µ¡¼¥Õ¥µ¥¤¥É¡¦¥µ¥Æ¥£ |193|264|542|781|
| ¥ª¡¼¥½¥ì¥ß¥ª¡Ê»ä¤ÎÂÀÍÛ¡Ë |80|100|279|381|
| ÇòÄ»¤Î¸Ð¡¡¡Ástill a duckling¡Á |144|243|406|609|
| ¥È¥Ã¥«¡¼¥¿¤È¥Õ¡¼¥¬¤È¥í¥Ã¥¯ |174|326|624|804|
| ¥í¥·¥¢¤ÎÍÙ¤ê¡Ö¥È¥ì¥Ñ¡¼¥¯¡× |92|135|342|385|
| ¥«¥ë¥á¥óÁÈ¶Ê°ìÈÖ½ª¶Ê |147|262|388|518|
| Å·¹ñ¤ÈÃÏ¹ö¡¡½ø¶Ê |169|262|370|489|
| ¹Ô¿Ê¶Ê¡Ö¤¯¤ë¤ß³ä¤ê¿Í·Á¡×¤«¤é |102|183|328|373|
| ÁÐÆ¬¤ÎÏÉ¤Î²¼¤Ë |134|191|349|501|
| Îø¤ÎPecori&#9825;Lesson |97|130|257|496|
| ¥Þ¥Ä¥±¥ó¥µ¥ó¥Ð­¶ |123|183|282|385|
| ¥ß¥Ã¥­¡¼¥Þ¥¦¥¹¡¦¥Þ¡¼¥Á |132|213|282|496|
| ¤ä¤ï¤é¤«Àï¼Ö |148|193|344|488|
| TAKIO'S SOHRAN 2 |169|270|446|567|
| ¤Á¤­¤å¤¦¤Ï¤¿¤Þ¤´¤Ã¤Á¡©¡ª |66|91|138|236|
| ¤µ¤¯¤é¡Ê½Õ¡Ë |86|158|276|364|
| ¤á¤À¤«¤Î·»Ëå |78|132|206|319|
| ¤â¤ê¤Î¤¯¤Þ¤µ¤ó |97|107|197|197|
| ¤¤¤Ì¤Î¤ª¤Þ¤ï¤ê¤µ¤ó |82|104|220|328|
| ¥¢¥ó¥Ñ¥ó¥Þ¥ó¤Î¥Þ¡¼¥Á |93|191|390|400|
| ¥É¥é¤¨¤â¤ó¤Î¤¦¤¿ |85|131|218|300|
| ¥Ï¥°¤·¤Á¤ã¤ª |49|75|184|333|
| ¤Ë¤ó¤²¤ó¤Ã¤Æ¤¤¤¤¤Ê |60|102|212|267|
| ¥µ¥¶¥¨¤µ¤ó°ì²È |69|117|249|305|
| ¥Ï¥àÂÀÏº¤È¤Ã¤È¤³¤¦¤¿ |94|150|296|401|
| ¥æ¥ë¥æ¥ë¤ÇDE-O! |60|87|161|345|
| ¥³¥¤&#9829;¥¯¥ë |71|113|218|510|
| º£¤¬Âç¹¥¤­ |59|89|161|308|
| ¡Ö¾Ð¤¦¤¬¾¡¤Á¡ª¡×¤ÇGO! |67|102|252|371|
| ¤Þ¤«¤»¤Æ¡ú¥¹¥×¥é¥Ã¥·¥å¡ù¥¹¥¿¡¼¡ú |53|85|257|411|
| ¥¹¥Ñ¡¼¥È¡ª |70|105|256|418|
| Your World |112|208|364|486|
| ¹ì¹ìÀïÂâ¥Ü¥¦¥±¥ó¥¸¥ã¡¼ |88|127|345|443|
| NEXT LEVEL |62|94|229|330|
| ¥Ï¥ìÀ²¥ì¥æ¥«¥¤ |87|130|223|366|
| »Ä¹ó¤ÊÅ·»È¤Î¥Æ¡¼¥¼ |103|125|267|345|
| ¥¿¥Ã¥Á |127|174|289|356|
| CHA-LA HEAD-CHA-LA |90|135|246|320|
| BRAND NEW WORLD |117|201|278|367|
| Dang Dang |107|169|280|403|
| Re:member |108|153|282|536|
| TONIGHT,TONIGHT,TONIGHT |94|145|343|504|
| Êú¤¤¤Æ¥»¥Ë¥ç¥ê¡¼¥¿ |91|107|211|371|
| ¥¿¥¤¥è¥¦¤Î¤¦¤¿ |68|101|153|212|
| ËâË¡¤Î¥³¥È¥Ð |67|92|199|340|
| Real voice |101|158|256|396|
| ·è°Õ¤ÎÄ«¤Ë |101|156|271|367|
| A Perfect Sky |71|143|217|253|
| ¥Ð¥¤¥Þ¥¤¥á¥í¥Ç¥£¡¼ |111|153|269|428|
| Precious |66|100|170|234|
| ½ã¾ð¡Á¥¹¥ó¥¸¥ç¥ó¡Á |124|176|377|516|
| Îø¤Î¤Ä¤Ü¤ß |70|95|205|285|
| Butterfly |102|160|373|435|
| ¥Á¥ã¥ó¥Ô¥ª¡¼¥Í |138|199|361|544|
| ²Ö |130|176|281|418|
| µ¤Ê¬¾å¡¹¢¬¢¬ |130|173|368|620|
| ºù |109|158|282|375|
| ¥Õ¥ì¥ó¥¸¥ã¡¼ |87|136|234|419|
| ¤µ¤¯¤é¤ó¤Ü |114|143|203|303|
| Ä¶ÆÃµÞ |85|130|256|410|
| NO MORE CRY |120|158|235|408|
| ÎÞ¤½¤¦¤½¤¦ |54|76|118|162|
| Å·ÂÎ´ÑÂ¬ |127|173|268|406|
| TRAIN-TRAIN |237|358|439|529|
| °¦¤Ï¾¡¤Ä |139|202|302|392|
| ²Æº×¤ê |135|172|389|488|
| Á°Î¬¡¢Æ»¤Î¾å¤è¤ê |174|242|518|650|
| ¹È |165|223|727|999|
| ¥â¥ó¥­¡¼¡¦¥Þ¥¸¥Ã¥¯ |95|135|216|375|
| ¥Þ¥Ã¥Ô¡¼¥á¥É¥ì¡¼ |170|249|417|628|
| ¥¹¡¼¥Ñ¡¼¥Þ¥ê¥ª¥Ö¥é¥¶¡¼¥º |131|175|442|589|
| ¥¼¥ë¥À¤ÎÅÁÀâ¤Î¥Æ¡¼¥Þ |55|87|241|425|
| MAGICAL SOUND SHOWER |120|223|424|684|
| URBAN TRAIL |101|218|314|659|
| DADDY MULK |221|323|656|777|
| THE IDOLM@STER |158|225|395|555|
| GO MY WAY!! |154|245|387|519|
| ËâË¡¤ò¤«¤±¤Æ¡ª |153|200|390|527|
| ¥½¥¦¥ë¥­¥ã¥ê¥Ð¡¼­¶ |114|181|322|471|
| ¥½¥¦¥ë¥­¥ã¥ê¥Ð¡¼­· |145|234|396|489|
| ¥É¥é¥´¥ó¥»¥¤¥Ð¡¼ |232|304|561|777|
