|CENTER:BGCOLOR(#d0d8e0):¶ÊÌ¾|CENTER:BGCOLOR(#d04102):COLOR(#fff):''¤«¤ó¤¿¤ó''|CENTER:BGCOLOR(#83ae5a):COLOR(#fff):''¤Õ¤Ä¤¦''|CENTER:BGCOLOR(#167d7e):COLOR(#fff):''¤à¤º¤«¤·¤¤''|CENTER:BGCOLOR(#b04c5a):COLOR(#fff):''¤ª¤Ë''|
| POP STAR |100|138|276|476|
| Ä¶ÆÃµÞ |85|130|256|410|
| GLAMOROUS SKY |174|216|503|667|
| ¤µ¤¯¤é |100|146|296|380|
| Butterfly |102|160|373|435|
| ¥¸¥ç¥Ð¥¤¥í |115|157|324|547|
| ¥«¥ë¥Þ |141|211|450|701|
| ËÍ¤Î¥­¥â¥Á|105|139|296|439|
| ¤µ¤¯¤é¤ó¤Ü |114|143|203|303|
| NO MORE CRY |120|158|235|408|
| ¥í¥³¥í¡¼¥·¥ç¥ó |162|247|293|561|
| ²Ö |130|176|281|418|
| ÎÞ¤½¤¦¤½¤¦|54|76|118|162|
| Å·ÂÎ´ÑÂ¬ |127|173|268|406|
| ²Æº×¤ê |135|172|389|488|
| ÃÏ¾å¤ÎÀ± |63|94|178|299|
| ¥í¥Ó¥ó¥½¥ó |98|120|262|441|
| ¹È |165|223|727|999|
| TRAIN-TRAIN |237|358|439|529|
| ¥ê¥ó¥À¥ê¥ó¥À |145|264|291|377|
| Á°Î¬¡¢Æ»¤Î¾å¤è¤ê |174|242|518|650|
| ¥â¥ó¥­¡¼¡¦¥Þ¥¸¥Ã¥¯ |95|135|216|375|
| ¥ë¡¼¥¸¥å¤ÎÅÁ¸À |86|104|234|449|
| ¥¹¡¼¥Ñ¡¼¥Þ¥ê¥ª¥Ö¥é¥¶¡¼¥º |131|175|442|589|
| ¥¼¥ë¥À¤ÎÅÁÀâ¤Î¥Æ¡¼¥Þ |55|87|241|425|
| ¥¹¥é¥¤¥à¤â¤ê¤â¤ê ¥É¥é¥´¥ó¥¯¥¨¥¹¥È2 |124|185|460|543|
| ¥É¥é¥´¥ó¥¯¥¨¥¹¥È­¼¡¡½ø¶Ê |78|130|152|193|
| SPARKING¡¡Å´·ý5 |134|174|309|483|
