*隠し要素解禁条件 [#title]
[[PS Vita1の収録曲]]
----
**スタンプ帳 [#stamp]
|CENTER:||||||c
|No.|スタンプ名|条件|ごほうび|h
|1|太鼓デビュー|演奏ゲームではじめてノルマクリア|きせかえ「レインボー(いろ)」|
|2|かんたんDE王冠5|演奏ゲームを難易度かんたんで5曲クリア|きせかえ「クリスタル(いろ)」|
|3|かんたんDE王冠15|演奏ゲームを難易度かんたんで15曲クリア|きせかえ「パール(いろ)」|
|4|かんたんDE王冠25|演奏ゲームを難易度かんたんで25曲クリア|音色「刀」|
|5|かんたんDE王冠40|演奏ゲームを難易度かんたんで40曲クリア|音色「シンセドラム」|
|6|かんたんDE王冠55|演奏ゲームを難易度かんたんで55曲クリア|きせかえ「かば」|
|7|ふつうDE王冠5|演奏ゲームを難易度ふつうで5曲クリア|きせかえ「つぎはぎ(いろ)」|
|8|ふつうDE王冠15|演奏ゲームを難易度ふつうで15曲クリア|きせかえ「みずたま(いろ)」|
|9|ふつうDE王冠25|演奏ゲームを難易度ふつうで25曲クリア|音色「メタル太鼓」|
|10|ふつうDE王冠40|演奏ゲームを難易度ふつうで40曲クリア|音色「ヘビメタ太鼓」|
|11|ふつうDE王冠55|演奏ゲームを難易度ふつうで55曲クリア|きせかえ「ピザ」|
|12|むずかしいDE王冠5|演奏ゲームを難易度むずかしいで5曲クリア|きせかえ「にくきゅう(いろ)」|
|13|むずかしいDE王冠15|演奏ゲームを難易度むずかしいで15曲クリア|音色「神風手裏剣」|
|14|むずかしいDE王冠25|演奏ゲームを難易度むずかしいで25曲クリア|きせかえ「兵士長(あたま)」|
|15|むずかしいDE王冠40|演奏ゲームを難易度むずかしいで40曲クリア|なし|
|16|むずかしいDE王冠55|演奏ゲームを難易度むずかしいで55曲クリア|なし|
|17|おにDE王冠5|演奏ゲームを難易度おにで5曲クリア|音色「豪華な太鼓」|
|18|おにDE王冠15|演奏ゲームを難易度おにで15曲クリア|きせかえ「兵士長(からだ)」|
|19|おにDE王冠25|演奏ゲームを難易度おにで25曲クリア|なし|
|20|おにDE王冠40|演奏ゲームを難易度おにで40曲クリア|なし|
|21|おにDE王冠55|演奏ゲームを難易度おにで55曲クリア|なし|
|22|はじめてのフルコンボ|演奏ゲームで金の王冠を1個ゲット|きせかえ「ブロンズ(いろ)」|
|23|フルコンビギナー|演奏ゲームで金の王冠を10個ゲット|きせかえ「シルバー(いろ)」|
|24|フルコンコレクター|演奏ゲームで金の王冠を30個ゲット|きせかえ「ゴールド(いろ)」|
|25|フルコンマスター|演奏ゲームで金の王冠を60個ゲット|音色「ダイナマイト」|
|26|フルコン神|演奏ゲームで金の王冠を100個ゲット|きせかえ「にんじゃ(あたま)」|
|27|コンボ100|演奏ゲームで最大コンボ数が100回をこえて演奏終了|音色「どんちゃん」|
|28|コンボ300|演奏ゲームで最大コンボ数が300回をこえて演奏終了|きせかえ「にんじゃ(からだ)」|
|29|コンボ600|演奏ゲームで最大コンボ数が600回をこえて演奏終了|なし|
|30|ナムコンボ|演奏ゲームで最大コンボ数が765回をこえて演奏終了|なし|
|31|コンボ限界突破|演奏ゲームで最大コンボ数が1000回をこえて演奏終了|なし|
|32|連打のオニ|演奏ゲームで連タッチ数が100回をこえて演奏終了|音色「もくぎょ」|
|33|連打の神|演奏ゲームで連タッチ数が200回をこえて演奏終了|きせかえ「鍋」|
|34|ドンだフルコンボ|演奏ゲームで良100％で演奏終了|音色「アイドルおなら」|
|35|ひねくれフルコンボ|演奏ゲームで可100％で演奏終了|なし|
|36|ばいそくフルコンボ|演奏ゲームをオプションばいそくでフルコンボ|なし|
|37|さんばいフルコンボ|演奏ゲームをオプションさんばいでフルコンボ|なし|
|38|よんばいフルコンボ|演奏ゲームをオプションよんばいでフルコンボ|なし|
|39|きまぐれフルコンボ|演奏ゲームをオプションきまぐれでフルコンボ|なし|
|40|でたらめフルコンボ|演奏ゲームをオプションでたらめでフルコンボ|なし|
|41|あべこべフルコンボ|演奏ゲームをオプションあべこべでフルコンボ|なし|
|42|ドロンフルコンボ|演奏ゲームをオプションドロンでフルコンボ|なし|
|43|アイドルマスター！1|「[[THE IDOLM@STER>難易度表/ふつう/THE IDOLM@STER]]」をふつうでクリア|きせかえ「アイマス 天海 春香」|
|44|アイドルマスター！2|「[[THE IDOLM@STER>難易度表/むずかしい/THE IDOLM@STER]]」をむずかしいでクリア|きせかえ「アイマス 如月 千早」|
|45|アイドルマスター！3|「[[THE IDOLM@STER>難易度表/おに/THE IDOLM@STER]]」をおにでクリア|きせかえ「アイマス 星井 美希」|
