*隠し要素解禁条件 [#title]
[[Wii U1の収録曲]]

**みんなのスタンプ帳 [#stamp] 
|CENTER:|||||c
|No.|スタンプ名|条件|ごほうび|h
|1|演奏回数1回|演奏ゲームまたはバトンタッチ演奏を1回プレイした|楽曲「[[ラデッキー行進曲>難易度表/おに/ラデツキー行進曲]]」|
|2|演奏回数3回|演奏ゲームまたはバトンタッチ演奏を3回プレイした|楽曲「[[戦え！T3防衛隊〜GDI mix〜>難易度表/おに/戦え！T3防衛隊 〜GDI mix〜]]」|
|3|演奏回数5回|演奏ゲームまたはバトンタッチ演奏を5回プレイした|衣装「忍者」|
|4|演奏回数10回|演奏ゲームまたはバトンタッチ演奏を10回プレイした|楽曲「[[恋の処方箋>難易度表/おに/恋の処方箋]]」|
|5|演奏回数20回|演奏ゲームまたはバトンタッチ演奏を20回プレイした|楽曲「[[うさぎのしっぽ>難易度表/おに/うさぎのしっぽ]]」|
|6|演奏回数30回|演奏ゲームまたはバトンタッチ演奏を30回プレイした|衣装「うさみみ」|
|7|演奏回数40回|演奏ゲームまたはバトンタッチ演奏を40回プレイした|楽曲「[ねぇ教えて''>難易度表/おに/ねぇ教えて]]」|
|8|演奏回数50回|演奏ゲームまたはバトンタッチ演奏を50回プレイした|楽曲「[[ロボットロケンロー☆>難易度表/おに/ロボットロケンロー☆]]」|
|9|演奏回数60回|演奏ゲームまたはバトンタッチ演奏を60回プレイした|衣装「カメ」|
|10|演奏回数70回|演奏ゲームまたはバトンタッチ演奏を70回プレイした|楽曲「[[アレキサンダーのテーマ>難易度表/おに/アレキサンダーのテーマ]]」|
|11|演奏回数80回|演奏ゲームまたはバトンタッチ演奏を80回プレイした|楽曲「[[エレクトリック・ポストマン>難易度表/おに/エレクトリック・ポストマン]]」|
|12|演奏回数90回|演奏ゲームまたはバトンタッチ演奏を90回プレイした|衣装「かじきまぐろ」|
|13|演奏回数100回|演奏ゲームまたはバトンタッチ演奏を100回プレイした|楽曲「[[Purple Rose Fusion>難易度表/おに/Purple Rose Fusion]]」|
|14|演奏回数200回|演奏ゲームまたはバトンタッチ演奏を200回プレイした|楽曲「[[Pastel Sealane>難易度表/おに/Pastel Sealane]]」|
|15|かんたん曲プレイ5回|難易度「かんたん」で5回演奏した|演奏オプション「ばいそく」|
|16|かんたん曲プレイ10回|難易度「かんたん」で10回演奏した|演奏オプション「さんばい」|
|17|ふつう曲プレイ5回|難易度「ふつう」で5回演奏した|演奏オプション「あべこべ」|
|18|ふつう曲プレイ10回|難易度「ふつう」で10回演奏した|演奏オプション「よんばい」|
|19|むずかしい曲プレイ5回|難易度「むずかしい」で5回演奏した|演奏オプション「きまぐれ」|
|20|むずかしい曲プレイ10回|難易度「むずかしい」で10回演奏した|演奏オプション「ドロン」|
|21|おに曲プレイ5回|難易度「おに」で5回演奏した|演奏オプション「でたらめ」|
|22|おに曲プレイ10回|難易度「おに」で10回演奏した|演奏オプション「かんぺき」|
|23|太鼓カウンター1000発|太鼓カウンターで1000発を達成|楽曲「[[Growing Up>難易度表/おに/Growing Up]]」|
|24|太鼓カウンター2000発|太鼓カウンターで2000発を達成|楽曲「[[ボクハシンセ>難易度表/おに/ボクハシンセ]]」|
|25|太鼓カウンター3000発|太鼓カウンターで3000発を達成|衣装「かみなりさま」|
|26|太鼓カウンター4000発|太鼓カウンターで4000発を達成|楽曲「[[豊穣弥生>難易度表/おに/豊穣弥生]]」|
|27|太鼓カウンター5000発|太鼓カウンターで5000発を達成|楽曲「[[久遠の夜>難易度表/おに/久遠の夜]]」|
|28|太鼓カウンター6000発|太鼓カウンターで6000発を達成|衣装「おすもうさん」|
