[[難易度表/むずかしい/ハム太郎とっとこうた2005]]

//- 乙。良くこんなの作ったなw --  &new{2009-02-20 (金) 07:34:29};
//-なぜあがってきてるｗｗ --  &new{2009-12-09 (水) 01:10:12};
-☆4にしては相当な地雷譜面。詳細にもある通り、☆6と思って挑むべし。 --  &new{2012-06-24 (日) 01:04:24};
-案の定★6に昇格しました --  &new{2012-07-25 (水) 20:58:11};
//-よく考えたら、アニスペの公式難易度順でハッピー★マテリアルのとなりだったから・・・そりゃぁと思っていましたが。 --  &new{2012-07-25 (水) 21:00:51};
-↑　２段階昇格か。まあ妥当か。 --  &new{2012-07-25 (水) 23:34:27};
-そりゃそうだろとしか言えない昇格。実際☆6にはこれよりぬるいのも結構ある。 --  &new{2012-07-26 (木) 21:16:07};
//-それにしても最近の昇格組がまともでよかった。これ然り、トフロ然り、前略然り。 --  &new{2012-07-27 (金) 12:40:53};
-昇格したとはいえ同レベル内では上位に位置する曲なので注意。 --  &new{2012-08-23 (木) 03:44:03};
-タッチ、残天と並ぶ★×6上位曲。下手な★×7よりも強い。また★×4という超絶詐称の時期があった。 --  &new{2012-09-14 (金) 00:39:26};
-新基準で2段階昇格した唯一の譜面 --  &new{2013-08-19 (月) 22:57:48};
//-↑ おにのじょいふるを忘れるな --  &new{2013-08-19 (月) 23:43:50};
-↑つ　おもちゃのチャチャチャ(かんたん) --  &new{2018-03-09 (金) 19:42:40};
-構成をおにと合わせるのと同時にいろいろ加筆。こんな譜面が★×4だった時代があっただなんて恐ろしい --  &new{2019-02-12 (火) 16:55:08};
-このタイプの曲では珍しく、とてもキッズにやらせる気のない譜面。 --  &new{2022-12-12 (月) 19:26:56};
-iOS/ARの天井点が795860と800000より少ないですが合っていますか？ --  &new{2022-12-28 (水) 23:59:15};
