//ホワイト時に収録されていた情報を残すため、灰色表示の部分を削除しないでください。
*太鼓の達人 ホワイトVer. の収録曲(V10.04) [#title]
-旧曲 ''459'' ＋ 新曲 ''57'' ＋ 隠し曲・ドンチャレ解禁曲・ごほうびショップ解禁曲 ''52'' − サヨナラ曲 ''89'' ＝ SIZE(20){''425''} 曲((段位道場のみプレイ可能の曲除く))
--裏譜面 ''79'' ＋ 双打 ''3'' -サヨナラ曲''18'' ＝ ''64'' 曲?

|>|>|>|>|>|>|>|CENTER:74|c
|>|>|>|>|>|>|>|''ジャンルごとの曲数''(ジャンル名を選択するとそのジャンルに移動します)|h
|BGCOLOR(cyan):~[[&color(black){%%%J-POP%%%};>#jpop]]|BGCOLOR(orange):~[[&color(black){%%%アニメ%%%};>#anime]]|BGCOLOR(darkgray):~[[&color(black){%%%ボーカロイド&#8482;曲%%%};>#vocalo]]|BGCOLOR(magenta):~[[&color(black){%%%どうよう%%%};>#doyo]]|BGCOLOR(lime):~[[&color(black){%%%バラエティ%%%};>#variety]]|BGCOLOR(gold):~[[&color(black){%%%クラシック%%%};>#classic]]|BGCOLOR(darkorchid):~[[&color(black){%%%ゲーム&br;ミュージック%%%};>#game]]|BGCOLOR(orangered):~[[&color(black){%%%ナムコ&br;オリジナル%%%};>#namco]]|
|''20'' 曲&br;(約4.9%)|''26'' 曲&br;(約6.4%)|''25'' 曲&br;(約5.9%)|''2'' 曲&br;(約0.5%)|''22'' 曲&br;(約5.2%)|''21'' 曲&br;(約4.9%)|''95'' 曲&br;(約22.4%)|''212'' 曲&br;(約49.9%)|

-[[システム詳細>ACの歴史(新筐体)#white]]
-[[アップデート履歴(ホワイト)>太鼓の達人 新筐体 アップデート履歴/ホワイト]]
-[[ドンチャレのお題(ホワイト)>過去のドンチャレのお題/ホワイト]]
-[[段位道場(ホワイト)>過去の段位道場#white]]
-[[ごほうび一覧>過去の新筐体のごほうび一覧#newacwhite]]
-[[段位・称号の一覧]]
--[[段位・称号の一覧/称号対象曲]]
-[[現収録曲>太鼓の達人 新筐体の収録曲]]

-[[太鼓の達人 ドンだー！世界一決定戦2016]]
----
**収録曲リスト [#list]
-凡例~
''新''・・・新曲~
''隠''・・・隠し曲(どんポイントや特定の称号で解禁)~
''ド''・・・ドンチャレ解禁曲(翌月1日にデフォルト化)~
''シ''・・・ごほうびショップ解禁曲~
''イベント先行''・・・イベント・キャンペーン先行解禁曲~
''日付''・・・ホワイトVer. 稼働中の追加曲(移行時除く)~
''日付サ''・・・サヨナラ曲~
''日付限定''・・・期間限定曲~
''背景が灰色(COLOR(#ccc){■})の曲・・・''現在はプレイできない楽曲~
''(S)''・・・パパママサポート対応譜面

// サヨナラになった曲は、大型アップデートが行われるまで表から削除するのはおやめください。
// 新バージョンに移行した際、前バージョンのページが作成されてから表の整理(曲順整理・サヨナラ曲削除など)を行ってください。

|>|CENTER:1||LEFT:60|>|>|>|>|CENTER:42|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#f30):COLOR(#111):''かん&br;たん''|BGCOLOR(#8c2):COLOR(#111):''ふつう''|BGCOLOR(#3ab):COLOR(#111):''むずか&br;しい''|BGCOLOR(#f2c):COLOR(#000):''おに''|BGCOLOR(#63e):COLOR(#fff):''おに&br;(裏)''|h
|>|>|>|>|>|>|>|>|BGCOLOR(cyan):''J-POP''&aname(jpop);|
|BGCOLOR(#ccc):''16/4/27&br;~&br;17/3/14''|BGCOLOR(#ccc):''新''|BGCOLOR(#ccc):''海の声''&br;　　SIZE(11){au「三太郎シリーズ」CMソング}|BGCOLOR(#ccc):76|BGCOLOR(#ccc):[[★×2>難易度表/かんたん/海の声]]|BGCOLOR(#ccc):[[★×3>難易度表/ふつう/海の声]]|BGCOLOR(#ccc):[[★×5>難易度表/むずかしい/海の声]]|BGCOLOR(#ccc):[[★×6>難易度表/おに/海の声]]|BGCOLOR(#ccc):-|
|''16/1/28''|''新''|''私以外私じゃないの''|136|[[★×4>難易度表/かんたん/私以外私じゃないの]]|[[★×6>難易度表/ふつう/私以外私じゃないの]]|[[★×6>難易度表/むずかしい/私以外私じゃないの]]|[[★×8>難易度表/おに/私以外私じゃないの]]|-|
|''15/12/24''|''新''|''DREAMERS' PARADISE''&br;　　SIZE(11){DANCE EARTH PARTY タイアップソング}|126|[[★×3>難易度表/かんたん/DREAMERS' PARADISE]]|[[★×4>難易度表/ふつう/DREAMERS' PARADISE]]|[[★×6>難易度表/むずかしい/DREAMERS' PARADISE]]|[[★×7>難易度表/おに/DREAMERS' PARADISE]]|-|
|''15/12/24''|''新''|''Silent Jealousy''|183|[[★×4>難易度表/かんたん/Silent Jealousy]]|[[★×6>難易度表/ふつう/Silent Jealousy]]|[[★×7>難易度表/むずかしい/Silent Jealousy]]|[[★×8>難易度表/おに/Silent Jealousy]]|[[★×10>難易度表/おに/Silent Jealousy(裏譜面)]]|
|BGCOLOR(#ccc):''17/3/15&br;サ''|BGCOLOR(#ccc):''新''|BGCOLOR(#ccc):''ひまわりの約束''|BGCOLOR(#ccc):79|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/ひまわりの約束]]&br;SIZE(10){(S)}|BGCOLOR(#ccc):[[★×4>難易度表/ふつう/ひまわりの約束]]|BGCOLOR(#ccc):[[★×5>難易度表/むずかしい/ひまわりの約束]]|BGCOLOR(#ccc):[[★×7>難易度表/おに/ひまわりの約束]]|BGCOLOR(#ccc):-|
|BGCOLOR(#ccc):''18/11/21&br;サ''|BGCOLOR(#ccc):''新''|BGCOLOR(#ccc):''ANTI-HERO''&br;　　SIZE(11){SEKAI NO OWARI}|BGCOLOR(#ccc):105※|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/ANTI-HERO]]|BGCOLOR(#ccc):[[★×4>難易度表/ふつう/ANTI-HERO]]|BGCOLOR(#ccc):[[★×6>難易度表/むずかしい/ANTI-HERO]]|BGCOLOR(#ccc):[[★×8>難易度表/おに/ANTI-HERO]]|BGCOLOR(#ccc):[[★×9>難易度表/おに/ANTI-HERO(裏譜面)]]|
|BGCOLOR(#ccc):''17/3/15&br;サ''|BGCOLOR(#ccc):''新''|BGCOLOR(#ccc):''シュガーソングとビターステップ''|BGCOLOR(#ccc):132|BGCOLOR(#ccc):[[★×3>難易度表/かんたん/シュガーソングとビターステップ]]|BGCOLOR(#ccc):[[★×4>難易度表/ふつう/シュガーソングとビターステップ]]|BGCOLOR(#ccc):[[★×5>難易度表/むずかしい/シュガーソングとビターステップ]]|BGCOLOR(#ccc):[[★×8>難易度表/おに/シュガーソングとビターステップ]]|BGCOLOR(#ccc):-|
||''新''|''I my moko''&br;　　SIZE(11){桃井はるこ}|140|[[★×3>難易度表/かんたん/I my moko]]|[[★×5>難易度表/ふつう/I my moko]]|[[★×6>難易度表/むずかしい/I my moko]]|[[★×8>難易度表/おに/I my moko]]|-|
