[[難易度表/おに/めたるぽりす(裏譜面)]]

-面533 縁232 --  &new{2011-11-04 (金) 17:08:25};
-ゴーゴーの位置が表と同じになった --  &new{2011-11-17 (木) 21:07:35};
-誰がACの譜面を確認して、ゴーゴーの位置 --  &new{2011-11-18 (金) 23:43:13};
//-この手の譜面がACで出ることを希望してたけど出来ればBPM150前後の曲でやってほしかった --  &new{2011-11-26 (土) 18:30:03};
//-叩いていて楽しい譜面 --  &new{2011-12-08 (木) 16:47:07};
-攻略には関係ないが、この曲作曲した人はギタドラでアドバースクリティシズムとかエクスケーベーションダメージなどを作曲した浅田靖だということがサントラで判明した --  &new{2012-01-05 (木) 17:30:51};
-これと裏リッジときみのあかり裏は、絶対譜面作成者同じだよね --  &new{2012-04-06 (金) 13:53:11};
-↑裏リッジはわからんが、きみのあかり裏はそんな感じするな --  &new{2012-04-29 (日) 19:15:41};
-エトウっぽい気がする --  &new{2012-07-31 (火) 21:41:14};
-表は分からんけど、裏はエトウかな --  &new{2012-08-31 (金) 00:19:40};
//-取り敢えず詰めただけ感が半端ない   完全に蛇足だわ --  &new{2012-08-31 (金) 00:24:37};
//-俺はこういう譜面大好きだけどな --  &new{2012-08-31 (金) 02:11:59};
-なんか、表と裏が同じ難易度の曲で裏が簡単という評価が下す者が多いのは蓄勢以来でしょうか。 --  &new{2012-10-30 (火) 11:43:14};
-表は8分中心だけとやりにくい配置になっているけど裏は体力さえあれば問題ない。 --  &new{2012-11-04 (日) 18:49:37};
//-譜面はこっちのほうが簡単なのに疲れて後半で切れる… --  &new{2013-02-12 (火) 23:55:58};
//-個人的　表＝糞譜面　裏＝良譜面だと思うw --  &new{2013-03-09 (土) 23:27:15};
//-俺わ表より裏のほうがマシかなｗｗｔｋ裏のほうもうちょいでフルいけたのにｗｗ --  &new{2013-03-10 (日) 19:24:01};
//-↑2 俺は表=スルメ譜面 裏=ガム譜面だと思うのだが --  &new{2013-03-10 (日) 20:37:27};
//-表も裏も良譜面だと思う。異論は認める --  &new{2013-03-10 (日) 21:43:44};
//-普通に裏の方が精度とり易い --  &new{2013-03-29 (金) 16:00:15};
//-表裏共にドラムの音色にしてオートで聴けば楽しさがわかる --  &new{2013-03-29 (金) 16:08:50};
//-調子にのって新しい光、蒼の旋律、これの順番でやったらゴーゴー手前で腕がつったww --  &new{2013-03-30 (土) 17:49:25};
//-表譜面も裏譜面も曲も神です！異論は、認めん。 --  &new{2013-04-09 (火) 01:36:16};
-コメントを整理。 --  &new{2013-05-18 (土) 00:16:20};
-これだけ詰まってて765コンボしかないのか。 --  &new{2013-05-18 (土) 00:17:05};
-動画が消えてたので、別のに変えました。 --  &new{2013-05-18 (土) 00:19:54};
//-METALなPOLICE・・・・・カックイ〜 --  &new{2013-05-18 (土) 18:55:20};
//-想像したらターミネーターみたいのになった --  &new{2013-05-18 (土) 18:56:44};
//-これやろうとしたら面反応出て表やるはめなったorz --  &new{2013-05-28 (火) 20:10:40};
-単純な16分音符を叩き続ける感じが爽快 --  &new{2013-05-28 (火) 21:11:00};
//-dream theaterまんまじゃねえかｗｗｗｗｗだから好きだわ --  &new{2013-05-30 (木) 23:37:51};
-ドリムシっぽいぎこちない変拍子　譜面も作りあぐねてる感じでやりにくいわ --  &new{2013-06-04 (火) 18:11:20};
//-↑6 どこの宇宙刑事だよ --  &new{2013-06-21 (金) 06:39:39};
//-wii3ってどうやって解禁するんですか いくら検索しても出てこなくて困ってます --  &new{2013-07-09 (火) 22:29:58};
//-↑　「Wii3の解禁」って何だよ。　この曲は太鼓カウンター99999発で解禁できるらしい。「太鼓　Wii3」で検索掛けたら、すぐに見つかるんだが・・・。 --  &new{2013-07-09 (火) 22:44:39};
//-↑2 「太鼓の達人 wii三代目」の解禁は、購入すれば可能 --  &new{2013-07-12 (金) 00:08:34};
//-新ジャンル「プログレ」作ってくれ。 --  &new{2013-07-19 (金) 20:04:12};
//-表より簡単な気がする --  &new{2013-08-04 (日) 17:23:29};
-表は大譜面で見づらいからな・・・こっちは見易い --  &new{2013-08-12 (月) 13:17:41};
//-☆8かな?　でもないかな?　 --  &new{2013-08-19 (月) 18:49:23};
//-表も☆9だし☆10 --  &new{2013-08-27 (火) 18:36:19};
//-嫌われてる譜面だが俺は大好きだぜ、かっこいいし --  &new{2013-09-19 (木) 00:18:15};
//-体力馬鹿｢表の方が難しい｣ こういうのだったら正直下手。あれ叩ける程度の技術足りないと伸びません --  &new{2013-09-19 (木) 01:04:35};
//-ひらがなでも☆8はないよね --  &new{2013-09-28 (土) 08:27:59};
//-↑2　個　人　差 --  &new{2013-10-07 (月) 00:08:01};
//-↑何でもかんでも個人差で済ませようとするとか正直どうなの？この先の技術系の★10叩けなくてもいいなら個人差で済ませて構わないけどね --  &new{2013-10-07 (月) 00:46:45};
//-↑ だからこそ表が6段に選ばれたんだろうな --  &new{2013-10-07 (月) 07:31:45};
//-↑2　逆にこの程度の体力譜面でへばってるようじゃ体力系の★10叩けるとは到底思えんが --  &new{2013-10-07 (月) 08:35:50};
//-表は大音符を見切り、若干複雑な8分、終盤にある複合を叩くことを要求される＞技術系。裏は休みなく腕を動かし続け、ひたすら3、5連打を間違えずに叩けるかを要求される＞体力系。↑3は、どちらも基礎的なものだし、これらをフルコン出来なければ★10のクリアは出来ても記録が伸びないと言いたいんじゃ？ --  &new{2013-10-07 (月) 11:52:48};
//-うまいやつは体力だろうが技術だろうが普通にたたける --  &new{2013-10-13 (日) 12:06:29};
//-完全左右交互が超楽しいな --  &new{2013-10-27 (日) 16:56:00};
//-ヴァーナスでも全然疲れないけど体力譜面？ --  &new{2013-11-02 (土) 00:53:40};
//-個人的に疲れるかどうかと体力譜面か否かは無関係 --  &new{2013-11-02 (土) 01:11:32};
//-↑じゃあ書き込まなきゃいいじゃん。 --  &new{2013-11-02 (土) 01:34:36};
//-↑3が他の☆x9の譜面で全く疲れないなら書き込む必要はなかった --  &new{2013-11-02 (土) 01:42:42};
-動画を、画質が良く、音も小さくないキャプチャ動画に差し替えました。 --  &new{2013-11-02 (土) 15:55:34};
//-これクリアしないで黒薔薇やる人いるのかな --  &new{2013-11-07 (木) 19:05:12};
//-めたるぽりすは表も裏も難しい。 --  &new{2013-11-10 (日) 15:09:50};
-表は風船&大音符で、裏が体力&叩き間違えを誘う面地帯。☆9の中位だろう --  &new{2013-11-10 (日) 15:13:43};
-43-44は表と裏で全く性質の違う譜面なのにどっちも曲にあっててすごいな --  &new{2013-12-03 (火) 18:16:20};
-表はギター譜面、裏はドラム譜面 --  &new{2013-12-11 (水) 19:03:16};
//-のふ譜面、赤四段の時にも初見不可4いけたから今ちょっとやったらフルいけるかな？因に初見の時の不可は12分音符でやられましたwwww --  &new{2013-12-26 (木) 10:29:40};
-大音符について記述を追加しました。 --  &new{2014-01-31 (金) 06:46:59};
-五段はここでどれだけコンボ数を増やせるか(フルコンが最善)にかかってると思う。少なくとも五段挑戦レベルだとサンバや赤薔薇のどこかでコンボが切れる --  &new{2014-02-25 (火) 13:53:30};
-[[このツイート>https://www.twitter.com/taiko_team/status/438282769240576003]]より、譜面作成はエトウかと思われる。 --  &new{2014-02-26 (水) 00:01:03};
//-この曲に於いて、表と裏を同時演奏出来ればなあ…ってよく思うんだけど皆はどう思う？ --  &new{2014-02-26 (水) 07:02:32};
//-↑KAGEKIYOやるときに思う --  &new{2014-02-26 (水) 16:39:21};
-↑僕もこの返答で、この譜面はエトウさん作と断定していいか悩んで放置していましたが、まさかここに公開されるとは思わなかったです。 --  &new{2014-02-26 (水) 18:13:41};
-↑ ツイートにエトウコースとあったので、多分この譜面もエトウ譜面かなと判断したんですが、ちょっと私が浅はかだったかもしれません。申し訳ないです --  &new{2014-02-26 (水) 19:38:53};
-↑1・2・3　一応追加しといた。 --  &new{2014-02-26 (水) 20:06:22};
-この曲フルコンしておくと段位道場五段がぐっと楽になる。 --  &new{2014-03-02 (日) 21:42:37};
-↑ウイニングランといっていいでしょう。しかし、これでコンボ切らしたら絶望が待ってる... --  &new{2014-03-03 (月) 21:50:09};
-えっと、譜面作成者はエトウさんで間違いありません。↑6のリンク先のツイートに更に踏み込んだら・・・・・ --  &new{2014-03-05 (水) 19:05:20};
-エトウが作譜か、意外だな。 --  &new{2014-03-06 (木) 22:05:03};
-↑新筐体初代の頃予想していた方がいたことや、モモイロ五段の他の2曲がエトウさん担当だったから、ついでに聞いたら、これも担当だったという・・・ --  &new{2014-03-06 (木) 22:29:51};
//-休みをくれ。 --  &new{2014-03-12 (水) 07:12:23};
//-コンボが612で切れた・・・　　結果86万しかいかない --  &new{2014-03-19 (水) 15:01:01};
//-Twitterでやれ --  &new{2014-03-19 (水) 15:25:15};
//-ドドドドドが苦手なら乙る --  &new{2014-03-24 (月) 14:30:24};
//-↑は？ --  &new{2014-03-29 (土) 10:16:24};
//-↑ほとんどノンストップだからな。その気持ちは分かる。あと、きみあか裏、さんぽ裏とか夢潮 --  &new{2014-03-31 (月) 16:20:31};
//-ノンストップが楽しい　これとかワサビとかリッジ裏とか --  &new{2014-03-31 (月) 20:12:28};
//-旋律表裏、黒薔薇表裏とかもだな --  &new{2014-04-02 (水) 13:59:16};
//-めたぽりと赤薔薇あるとか五段ハウス金無理... --  &new{2014-04-05 (土) 20:26:11};
//-↑恐るべしエトウコース(ハハハっ)。 --  &new{2014-04-14 (月) 14:43:16};
-なんで譜面作成キジキジになってんの --  &new{2014-04-19 (土) 19:52:10};
-戻しました --  &new{2014-04-19 (土) 19:56:33};
//-↑3サンバ裏が得意ですか。5段でこれ初フルしたとき金狙ってたが赤薔薇のせいで金とれないのは自分もです... --  &new{2014-04-20 (日) 22:35:00};
-41小節で多重出てフル出来ない　ヴァーナスゴリ押しがいかんのか？ --  &new{2014-06-03 (火) 21:54:45};
//-何十回やっても最後で体力切れる --  &new{2014-06-08 (日) 01:43:36};
//-1回目の12分音符を捌くコツは最後の4個目のドンを利き手で捌くww --  &new{2014-06-10 (火) 22:36:18};
//-3ds キタァアー! --  &new{2014-06-26 (木) 06:21:31};
//-３ｄｓにキテ発狂しそうになったわｗｗ --  &new{2014-06-28 (土) 22:31:16};
-↑2油断しているからかも！ --  &new{2014-06-28 (土) 23:37:34};
//-個人的に表より楽 --  &new{2014-07-03 (木) 17:05:51};
//-良曲 --  &new{2014-07-05 (土) 11:16:26};
//-これタッチでやるのたのしい！ --  &new{2014-07-05 (土) 19:28:27};
//-もうすぐ段位道場終わるのに五段できない… --  &new{2014-07-08 (火) 18:58:51};
//-↑次の段位道場の時にがんばろっ☆ --  &new{2014-07-11 (金) 19:10:08};
-この譜面もきたさいたまみたいな作り方してるのかな？ --  &new{2014-09-12 (金) 01:18:49};
//-↑5  ４個目だと逆手ですが。 --  &new{2014-11-20 (木) 20:05:45};
-でたらめだといい練習になれるかお勧め --  &new{2014-12-13 (土) 10:15:03};
//-パパッと作った感半端ない --  &new{2015-02-26 (木) 17:24:12};
//-こっちほうが表より簡単だわww --  &new{2015-04-04 (土) 12:02:24};
//-俺的に表の方がムズイ --  &new{2015-04-11 (土) 11:38:36};
-旧基準★×9平均密度最高? --  &new{2015-09-23 (水) 10:32:33};
-↑765コンボ譜面ではこれより音符密度が高いものはみつかりませんでした。 --  &new{2015-09-23 (水) 11:36:28};
-↑ で、旧基準★×9の中ではどうなんですか？ --  &new{2015-09-25 (金) 10:39:10};
-↑これが最濃密度です。 --  &new{2015-09-25 (金) 11:45:48};
//-休憩がほとんど無い。3DSでやってもかなり疲れる。 --  &new{2015-10-27 (火) 19:18:53};
//-休憩がほとんど無い。3DSでやってもかなり疲れる。 --  &new{2015-10-27 (火) 19:44:55};
-765コンボでの完全精度曲ってコレとドンカマ2000と他に何があるの? --  &new{2015-10-27 (火) 19:48:02};
- らんぶる乱舞裏と月下美人の普通譜面 --  &new{2015-10-27 (火) 19:51:16};
-宇宙SAMRAIもあったよ --  &new{2015-10-27 (火) 19:55:28};
-宇宙SAMURAI --  &new{2015-10-27 (火) 19:56:54};
-ごめんなさい。間違えました。 --  &new{2015-10-27 (火) 21:21:52};
-完全交互の練習にはうってつけの曲 --  &new{2015-11-09 (月) 17:25:04};
//-やっぱり裏譜面の方がムズいと思う 確かに表譜面の方が複雑だけど普通にどうにかなるレベルだし、こっちは体力がもたない --  &new{2016-02-23 (火) 06:49:55};
//-↑だが逆に、体力さえあれば表の方が難しい、という人もいるんだよ。 --  &new{2016-02-23 (火) 10:48:07};
//-↑こっちのほうが音符が詰まっててきついという人もいる。 --  &new{2016-02-23 (火) 17:29:15};
//-↑少なくともCSでは裏の方が簡単 --  &new{2016-04-15 (金) 16:05:46};
//-↑そんなの個人差だろwww --  &new{2016-06-03 (金) 19:59:11};
//-↑（表）は風船が重かったり、最後のほうで難しめの複合が出てくるから（裏）より苦手 --  &new{2016-06-03 (金) 20:28:14};
-最短音符間隔が山葵と殆ど変わらない(山葵0.333秒、めたぽり裏0.341秒) --  &new{2016-08-20 (土) 16:59:37};
-休憩地帯は16小節.....でも休憩出来るとは言い切れない --  &new{2016-09-30 (金) 07:05:12};
-めたぽは裏の方が簡単！ --  &new{2016-11-22 (火) 17:40:14};
-↑体力あったらな。星9やり始めた頃にこれやるのは危険。精度はこっちが取りやすいけど --  &new{2016-11-22 (火) 17:43:53};
