[[PS4 1の収録曲]]

|CENTER:称号|CENTER:獲得条件|CENTER:備考|h
|||称号が空欄になります|
|はじめてのドンだー|||
|太鼓の新人|||
|太鼓の達人はじめました|||
|太鼓の芸人|太鼓ランクマッチでランク20到達||
|太鼓の友人|太鼓ランクマッチでランク25到達||
|太鼓の恋人|太鼓ランクマッチでランク30到達||
|太鼓の才人|太鼓ランクマッチでランク40到達||
|太鼓の賢人|太鼓ランクマッチでランク50到達||
|太鼓の鉄人|太鼓ランクマッチでランク60到達||
|太鼓の玄人|太鼓ランクマッチでランク70到達||
|太鼓の名人|太鼓ランクマッチでランク80到達||
|太鼓の超人|太鼓ランクマッチでランク90到達||
|太鼓の達人|太鼓ランクマッチでランク99到達||
|太鼓の原人|アイテム玉手箱||
|太鼓の石油王|アイテム玉手箱||
|太鼓の世話人|アイテム玉手箱||
|太鼓の変人|アイテム玉手箱||
|いいわけの達人|アイテム玉手箱||
|イケボの達人|アイテム玉手箱||
|ウインクの達人|アイテム玉手箱||
|占いの達人|アイテム玉手箱||
|買物の達人|アイテム玉手箱||
|気遣いの達人|アイテム玉手箱||
|クレーンゲームの達人|アイテム玉手箱||
|散歩の達人|アイテム玉手箱||
|写メ撮りの達人|アイテム玉手箱||
|女子会の達人|アイテム玉手箱||
|長風呂の達人|アイテム玉手箱||
|なぞなぞの達人|アイテム玉手箱||
|鍋パの達人|アイテム玉手箱||
|成り行き任せの達人|アイテム玉手箱||
|独り言の達人|アイテム玉手箱||
|フォローの達人|アイテム玉手箱||
|フリマの達人|アイテム玉手箱||
|ほふく前進の達人|アイテム玉手箱||
|変顔の達人|アイテム玉手箱||
|真顔の達人|アイテム玉手箱||
|ポエムの達人|アイテム玉手箱||
|料理の達人|アイテム玉手箱||
|連打の達人|アイテム玉手箱||
|既読スルーの達人|アイテム玉手箱||
|寝たフリの達人|アイテム玉手箱||
|あけましておめでドン！|アイテム玉手箱||
|おつカレーライス！|アイテム玉手箱||
|よいお年を！|アイテム玉手箱||
|エリートドンだー|アイテム玉手箱||
|かんたんプレイヤーです|アイテム玉手箱||
|ふつうプレイヤーです|アイテム玉手箱||
|むずかしいプレイヤーです|アイテム玉手箱||
|おにプレイヤーです|アイテム玉手箱||
|精度命|アイテム玉手箱||
|太鼓ゴリラ|アイテム玉手箱||
|ノールック太鼓|アイテム玉手箱||
|I&#9829;TAIKO|アイテム玉手箱||
|SNSは別人|アイテム玉手箱||
|エア太鼓|アイテム玉手箱||
|お祭りわっしょい！|アイテム玉手箱||
|お金大好き|アイテム玉手箱||
|お米大好き|アイテム玉手箱||
|お肉大好き|アイテム玉手箱||
|スマホ大好き|アイテム玉手箱||
|ミステリー大好き|アイテム玉手箱||
|どんちゃん大好き|アイテム玉手箱||
|かっちゃん大好き|アイテム玉手箱||
|カレクッタ＝ドンディー大好き|アイテム玉手箱||
|よもぎまる大好き|アイテム玉手箱||
|テツオ大好き|アイテム玉手箱||
|はなちゃんLOVE！|アイテム玉手箱||
|バチお先生リスペクトしてます|アイテム玉手箱||
|こたつにみかん|アイテム玉手箱||
|催眠術にはめっぽう弱い|アイテム玉手箱||
|未読の達人|アイテム玉手箱||
|太鼓コントローラー派|アイテム玉手箱||
|ボタンでプレイ派|アイテム玉手箱||
|太鼓パリピ|アイテム玉手箱||
|体力系音ゲーマー|アイテム玉手箱||
|フルコン目前のクシャミスト|アイテム玉手箱||
|エクストリーム演奏中|アイテム玉手箱||
|女子力計測中|アイテム玉手箱||
|ずっと充電中|アイテム玉手箱||
|掃除機から逃走中|アイテム玉手箱||
|おこづかい値上げ交渉中|アイテム玉手箱||
|明日からちゃんとやる|アイテム玉手箱||
|オシャンティの極み|アイテム玉手箱||
|最強の自宅警備員|アイテム玉手箱||
|ダジャレ番長|アイテム玉手箱||
|テストは基本、一夜漬け|アイテム玉手箱||
|テストは基本、勘頼み|アイテム玉手箱||
|伝説級の豆腐メンタル|アイテム玉手箱||
|脳内カーニバルだドーン！|アイテム玉手箱||
|バイブスがカミッテル|アイテム玉手箱||
|ひび割れた画面からこんにちは|アイテム玉手箱||
|不可と踊っちまったんだよ|アイテム玉手箱||
|フルコンボ直前の緊張感は異常|アイテム玉手箱||
|僕のドヤ顔プライスレス|アイテム玉手箱||
|超弩級の太鼓持ち|アイテム玉手箱||
