 
|CENTER:1|CENTER:31||LEFT:60>|>|>|CENTER:61|CENTER:61|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#f30):COLOR(#111):''かん&br;たん''|BGCOLOR(#8c2):COLOR(#111):''ふつう''|BGCOLOR(#3ab):COLOR(#111):''むず&br;かしい''|BGCOLOR(gold):''ドン&br;だフル！''|h
||''1 / 44''|''アイアイ''&br;ジャンル・童謡|106|[[★×1>難易度表/かんたん/アイアイ]]|-|-|[[★×1>難易度表/おに/アイアイ]]|
||''2 / 44''|''炭坑節''&br;ジャンル・音頭|89.6|[[★×3>難易度表/かんたん/炭坑節]]|-|-|[[★×1>難易度表/おに/炭坑節]]|
||''3 / 44''|''アンパンマンのマーチ''&br;ジャンル・アニメ|96|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|-|[[★×2>難易度表/おに/アンパンマンのマーチ]]|
|''新''|''4 / 44''|''ラジオ体操第一''&br;ジャンル・体操|64-115|[[★×4>難易度表/おに/ラジオ体操第一#Easy]]|-|-|[[★×2>難易度表/おに/ラジオ体操第一]]|
|''新''|''5 / 44''|''クラシックメドレー(運動会編)''&br;ジャンル・クラシック|70-160|[[★×5>難易度表/かんたん/クラシックメドレー(運動会編)]]|-|-|[[★×2>難易度表/おに/クラシックメドレー(運動会編)]]|
|''新''|''6 / 44''|''すすめ！ドリラー''&br;ジャンル・ナムコ|140|-|[[★×3>難易度表/ふつう/すすめ！ドリラー]]|-|[[★×2>難易度表/おに/すすめ！ドリラー]]|
|''新''|''7 / 44''|''愛のうた''　　　SIZE(11){〜ピクミンのテーマ}&br;ジャンル・J-POP|76|[[★×2>難易度表/かんたん/愛のうた 〜ピクミンのテーマ]]|[[★×1>難易度表/おに/愛のうた〜ピクミンのテーマ]]|-|[[★×3>難易度表/おに/愛のうた〜ピクミンのテーマ]]|
|''新''|''8 / 44''|''PIECES OF A DREAM''&br;ジャンル・J-POP|105|[[★×3>難易度表/かんたん/PIECES OF A DREAM]]|[[★×3>難易度表/ふつう/PIECES OF A DREAM]]|[[★×2>難易度表/むずかしい/PIECES OF A DREAM]]|[[★×3>難易度表/おに/PIECES OF A DREAM]]|
|''新''|''9 / 44''|''ミニモニ。テレフォン！リンリンリン''&br;ジャンル・J-POP|150|[[★×3>難易度表/かんたん/ミニモニ。テレフォン！リンリンリン]]|[[★×2>難易度表/ふつう/ミニモニ。テレフォン！リンリンリン]]|-|[[★×3>難易度表/おに/ミニモニ。テレフォン！リンリンリン]]|
||''10 / 44''|''どんちゃん音頭''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・音頭|140|-|-|-|[[★×3>難易度表/おに/どんちゃん音頭]]|
||''11 / 44''|''ハロー！どんちゃん''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・ポップス|140|-|-|-|[[★×3>難易度表/おに/ハロー！どんちゃん]]|
|''新''|''12 / 44''|''ガッツだぜ！！''&br;ジャンル・J-POP|125|[[★×3>難易度表/かんたん/ガッツだぜ!!]]|[[★×4>難易度表/ふつう/ガッツだぜ！！]]|[[★×1>難易度表/むずかしい/ガッツだぜ！！]]|[[★×4>難易度表/おに/ガッツだぜ！！]]|
||''13 / 44''|''マッピー音頭''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・音頭|126|-|-|-|[[★×4>難易度表/おに/マッピー音頭]]|
||''14 / 44''|''ドラえもん音頭''&br;ジャンル・音頭|112|[[★×1>難易度表/かんたん/ドラえもん音頭]]|[[★×1>難易度表/ふつう/ドラえもん音頭]]|[[★×1>難易度表/むずかしい/ドラえもん音頭]]|[[★×5>難易度表/おに/ドラえもん音頭]]&br;譜面分岐あり|
|''新''|''15 / 44''|''ムーンライト伝説''&br;ジャンル・アニメ|138|[[★×3>難易度表/かんたん/ムーンライト伝説]]|[[★×2>難易度表/ふつう/ムーンライト伝説]]|[[★×2>難易度表/むずかしい/ムーンライト伝説]]|[[★×5>難易度表/おに/ムーンライト伝説]]|
|''新''|''16 / 44''|''traveling''&br;ジャンル・J-POP|117|[[★×4>難易度表/かんたん/traveling]]|[[★×3>難易度表/ふつう/traveling]]|[[★×5>難易度表/おに/traveling]]|[[★×5>難易度表/おに/traveling]]|
|''新''|''17 / 44''|''Mr.Moonlight''　　SIZE(11){〜愛のビッグバンド〜}&br;ジャンル・J-POP|183|[[★×4>難易度表/かんたん/Mr.Moonlight 愛のビッグバンド]]|[[★×3>難易度表/ふつう/Mr.Moonlight 愛のビッグバンド]]|[[★×2>難易度表/おに/Mr.Moonlight 愛のビッグバンド]]|[[★×5>難易度表/おに/Mr.Moonlight 愛のビッグバンド]]|
|''新''|''18 / 44''|''WE ARE THE CHAMP''　　　SIZE(11){〜THE NAME OF THE GAME〜}&br;ジャンル・サッカー応援歌|123.61?|[[★×4>難易度表/かんたん/WE ARE THE CHAMP]]|[[★×3>難易度表/ふつう/WE ARE THE CHAMP]]|[[★×2>難易度表/おに/WE ARE THE CHAMP]]|[[★×5>難易度表/おに/WE ARE THE CHAMP]]|
||''19 / 44''|''大ちゃん数え唄''&br;ジャンル・絵描き唄|119.4|-|[[★×3>難易度表/ふつう/大ちゃん数え唄]]|[[★×2>難易度表/むずかしい/大ちゃん数え唄]]|[[★×5>難易度表/おに/大ちゃん数え唄]]&br;譜面分岐あり|
|''新''|''20 / 44''|''どんちゃんえかき歌''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・絵描き唄|140|-|-|-|[[★×5>難易度表/おに/どんちゃんえかき歌]]|
|''新''|''21 / 44''|''太鼓の達人・愛のテーマ''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル・ナムコ|75-76|-|-|-|[[★×5>難易度表/おに/太鼓の達人・愛のテーマ]]|
|''新''|''22 / 44''|''ハム太郎とっとこうた''&br;ジャンル・アニメ|140|[[★×2>難易度表/かんたん/ハム太郎とっとこうた]]|[[★×2>難易度表/ふつう/ハム太郎とっとこうた]]|[[★×3>難易度表/むずかしい/ハム太郎とっとこうた]]|[[★×6>難易度表/おに/ハム太郎とっとこうた]]|
|''新''|''23 / 44''|''LOVE涙色''&br;ジャンル・J-POP|118|[[★×3>難易度表/かんたん/LOVE涙色]]|[[★×3>難易度表/ふつう/LOVE涙色]]|[[★×3>難易度表/おに/LOVE涙色]]|[[★×6>難易度表/おに/LOVE涙色]]|
|''新''|''24 / 44''|''残酷な天使のテーゼ''&br;ジャンル・アニメ|79-129|-|[[★×3>難易度表/ふつう/残酷な天使のテーゼ]]|[[★×3>難易度表/むずかしい/残酷な天使のテーゼ]]|[[★×6>難易度表/おに/残酷な天使のテーゼ]]|
