|CENTER:1||LEFT:60|>|>|>|CENTER:61|c
||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#d15136):COLOR(#fff):''かん&br;たん''|BGCOLOR(#6c9658):COLOR(#fff):''ふつう''|BGCOLOR(#2b6a7e):COLOR(#fff):''むずか&br;しい''|BGCOLOR(#dcaf2c):COLOR(#fff):''ドンだ&br;フル！''|h
|''新''|''アイアイ''&br;ジャンル．童謡|106|[[★×1>難易度表/かんたん/アイアイ]]|-|-|[[★×1>難易度表/おに/アイアイ]]|
|''新''|''詠人（うたびと）''&br;ジャンル．アニメ|105.2|[[★×2>難易度表/おに/詠人]]|-|-|[[★×1>難易度表/おに/詠人]]|
||''炭坑節''&br;ジャンル．民謡|89.6|[[★×2>難易度表/かんたん/炭坑節]]|-|-|[[★×1>難易度表/おに/炭坑節]]|
||''アンパンマンのマーチ''&br;ジャンル．アニメ|96|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|-|[[★×2>難易度表/おに/アンパンマンのマーチ]]|
|''新''|''箱根八里の半次郎''&br;ジャンル．演歌|74|[[★×3>難易度表/かんたん/箱根八里の半次郎]]|[[★×2>難易度表/おに/箱根八里の半次郎]]|-|[[★×2>難易度表/おに/箱根八里の半次郎]]|
|''新''|''おどるポンポコリン''&br;ジャンル．アニメ|140|[[★×3>難易度表/かんたん/おどるポンポコリン]]|[[★×3>難易度表/ふつう/おどるポンポコリン]]|-|[[★×2>難易度表/おに/おどるポンポコリン]]|
|''新''|''どんちゃん音頭''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル．音頭|140|-|[[★×2>難易度表/ふつう/どんちゃん音頭]]|-|[[★×3>難易度表/おに/どんちゃん音頭]]|
||''ハロー！どんちゃん''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル．ポップス|140|-|-|-|[[★×3>難易度表/ふつう/ハロー！どんちゃん]]|
||''太陽もヤッパッパー''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル．ダンス|146|-|-|-|[[★×3>難易度表/おに/太陽もヤッパッパー]]|
||''マッピー音頭''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル．音頭|126|-|[[★×5>難易度表/ふつう/マッピー音頭]]|-|[[★×4>難易度表/おに/マッピー音頭]]|
||''ラブユー☆どんちゃん''　　　SIZE(11){太鼓の達人オリジナル曲}&br;ジャンル．ダンス|130|-|-|-|[[★×4>難易度表/おに/ラブユー☆どんちゃん]]|
|''新''|''恋をしちゃいました！''&br;ジャンル．J-POP|126|-|[[★×1>難易度表/ふつう/恋をしちゃいました！]]|[[★×3>難易度表/むずかしい/恋をしちゃいました！]]|[[★×4>難易度表/おに/恋をしちゃいました！]]&br;譜面分岐あり|
||''ドラえもん音頭''&br;ジャンル．音頭|112|[[★×1>難易度表/かんたん/ドラえもん音頭]]|[[★×1>難易度表/ふつう/ドラえもん音頭]]|[[★×1>難易度表/むずかしい/ドラえもん音頭]]|[[★×5>難易度表/おに/ドラえもん音頭]]&br;譜面分岐あり|
||''大ちゃん数え唄''&br;ジャンル．アニメ|119.4|-|[[★×3>難易度表/ふつう/大ちゃん数え唄]]|[[★×2>難易度表/むずかしい/大ちゃん数え唄]]|[[★×5>難易度表/おに/大ちゃん数え唄]]&br;譜面分岐あり|
