*スタンプ帳 [#title]
|CENTER:|||||c
|No.|スタンプ名|条件|太鼓ポイント|ごほうび|h
|1|太鼓デビュー|演奏ゲームではじめてノルマクリア|10|なし|
|2|かんたんDE王冠5|演奏ゲームを難易度かんたんで5曲クリア|10|なし|
|3|かんたんDE王冠15|演奏ゲームを難易度かんたんで15曲クリア|10|【音色】ぷちぷち|
|4|かんたんDE王冠30|演奏ゲームを難易度かんたんで30曲クリア|10|【音色】つづみ|
|5|かんたんDE王冠45|演奏ゲームを難易度かんたんで45曲クリア|15|【称号】「学校」「テスト」|
|6|かんたんDE王冠65|演奏ゲームを難易度かんたんで65曲クリア|15|【称号】「学生」「学ラン」|
|7|ふつうDE王冠5|演奏ゲームを難易度ふつうで5曲クリア|10|なし|
|8|ふつうDE王冠15|演奏ゲームを難易度ふつうで15曲クリア|15|【音色】カラス|
|9|ふつうDE王冠30|演奏ゲームを難易度ふつうで30曲クリア|15|【称号】「平成」「昭和」|
|10|ふつうDE王冠45|演奏ゲームを難易度ふつうで45曲クリア|15|【称号】「駄菓子」「パン」|
|11|ふつうDE王冠65|演奏ゲームを難易度ふつうで65曲クリア|20|【称号】「ことわざ」「如く」|
|12|むずかしいDE王冠5|演奏ゲームを難易度むずかしいで5曲クリア|15|なし|
|13|むずかしいDE王冠15|演奏ゲームを難易度むずかしいで15曲クリア|15|【音色】炭酸飲料|
|14|むずかしいDE王冠30|演奏ゲームを難易度むずかしいで30曲クリア|20|【音色】料理|
|15|むずかしいDE王冠45|演奏ゲームを難易度むずかしいで45曲クリア|20|【称号】「なんでや」「やねん」|
|16|むずかしいDE王冠65|演奏ゲームを難易度むずかしいで65曲クリア|20|【称号】「一生」「日記」|
|17|おにDE王冠5|演奏ゲームを難易度おにで5曲クリア|15|【称号】「人生」「お話」|
|18|おにDE王冠15|演奏ゲームを難易度おにで15曲クリア|20|【音色】おっかけ|
|19|おにDE王冠30|演奏ゲームを難易度おにで30曲クリア|20|【称号】「ライバル」「親友」|
|20|おにDE王冠45|演奏ゲームを難易度おにで45曲クリア|25|【称号】「狩人」「サバイバル」|
|21|おにDE王冠65|演奏ゲームを難易度おにで65曲クリア|25|【称号】「真空」「疾風」|
|22|王冠10|演奏ゲームで王冠を10個ゲット|10|【称号】「真面目」「やる気」|
|23|王冠50|演奏ゲームで王冠を50個ゲット|15|【称号】「仕事人」「勇気」|
|24|王冠150|演奏ゲームで王冠を150個ゲット|20|【称号】「武勇伝」「大将」|
|25|はじめてのフルコンボ|演奏ゲームで金の王冠を1個ゲット|10|なし|
|26|フルコンボビギナー|演奏ゲームで金の王冠を10個ゲット|10|【称号】「タイミング」「リズム」|
|27|フルコンボコレクター|演奏ゲームで金の王冠を30個ゲット|15|【称号】「cool」「システム」|
|28|フルコンマスター|演奏ゲームで金の王冠を60個ゲット|15|【称号】「プリンス」「プリンセス」|
|29|フルコン神|演奏ゲームで金の王冠100個ゲット|20|【称号】「マジ」「キター」|
|30|コンボ100|演奏ゲームで最大コンボ数が100回をこえて演奏終了|10|なし|
|31|コンボ300|演奏ゲームで最大コンボ数が300回をこえて演奏終了|15|【音色】いぬねこ|
|32|コンボ600|演奏ゲームで最大コンボ数が600回をこえて演奏終了|20|【称号】「劇場」「芸術」|
|33|ナムコンボ|演奏ゲームで最大コンボ数が765回をこえて演奏終了|25|【称号】「誕生」「正式」|
|34|バンナムコンボ|演奏ゲームで最大コンボ数が876回をこえて演奏終了|25|【称号】「開発」「プロ」|
|35|コンボ限界突破|演奏ゲームで最大コンボ数が1000回をこえて演奏終了|25|【称号】「貴重」「有頂天」|
|36|連タッチのオニ|演奏ゲームで連タッチが100回をこえて演奏終了|10|なし|
