|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#d15136):COLOR(#fff):''かん&br;たん''|BGCOLOR(#6c9658):COLOR(#fff):''ふつう''|BGCOLOR(#2b6a7e):COLOR(#fff):''むずか&br;しい''|BGCOLOR(#dcaf2c):COLOR(#fff):''ドンだ&br;フル！''|h
|''新''|''1/58''|''もりのくまさん''|120|[[★×1>難易度表/かんたん/もりのくまさん]]|[[★×1>難易度表/ふつう/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|
|''新''|''2/58''|''クラリネットをこわしちゃった''|108|[[★×1>難易度表/かんたん/クラリネットをこわしちゃった]]|[[★×1>難易度表/ふつう/クラリネットをこわしちゃった]]|[[★×1>難易度表/むずかしい/クラリネットをこわしちゃった]]|[[★×2>難易度表/おに/クラリネットをこわしちゃった]]|
|''新''|''3/58''|''ソーラン節''|94|[[★×4>難易度表/かんたん/ソーラン節]]|[[★×1>難易度表/ふつう/ソーラン節]]|[[★×2>難易度表/おに/ソーラン節]]|[[★×2>難易度表/おに/ソーラン節]]|
||''4/58''|''UFO''|164|[[★×4>難易度表/かんたん/UFO]]|[[★×2>難易度表/ふつう/UFO]]|[[★×3>難易度表/おに/UFO]]|[[★×2>難易度表/おに/UFO]]|
|''新''|''5/58''|''負けないで''|125|[[★×4>難易度表/かんたん/負けないで]]|[[★×3>難易度表/ふつう/負けないで]]|[[★×2>難易度表/おに/負けないで]]|[[★×2>難易度表/おに/負けないで]]|
||''6/58''|''アンパンマンのマーチ''|96|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|[[★×4>難易度表/むずかしい/アンパンマンのマーチ]]|[[★×3>難易度表/おに/アンパンマンのマーチ]]|
|''新''|''7/58''|''サザエさん''|121|[[★×3>難易度表/かんたん/サザエさん]]|[[★×1>難易度表/ふつう/サザエさん]]|[[★×3>難易度表/むずかしい/サザエさん]]|[[★×3>難易度表/おに/サザエさん]]|
||''8/58''|''ドラえもんのうた''|123.5|[[★×1>難易度表/かんたん/ドラえもんのうた]]|[[★×1>難易度表/ふつう/ドラえもんのうた]]|[[★×2>難易度表/むずかしい/ドラえもんのうた]]|[[★×4>難易度表/おに/ドラえもんのうた]]|
||''9/58''|''クラシックメドレー（運動会編）''|70-160|[[★×5>難易度表/かんたん/クラシックメドレー(運動会編)]]|[[★×5>難易度表/ふつう/クラシックメドレー(運動会編)]]|[[★×5>難易度表/おに/クラシックメドレー(運動会編)]]|[[★×5>難易度表/おに/クラシックメドレー(運動会編)]]|
||''10/58''|''ハム太郎とっとこうた''|140|[[★×2>難易度表/かんたん/ハム太郎とっとこうた]]|[[★×2>難易度表/ふつう/ハム太郎とっとこうた]]|[[★×4>難易度表/むずかしい/ハム太郎とっとこうた]]|[[★×5>難易度表/おに/ハム太郎とっとこうた]]|
||''11/58''|''大切なもの''|205|[[★×5>難易度表/かんたん/大切なもの]]|[[★×5>難易度表/ふつう/大切なもの]]|[[★×5>難易度表/むずかしい/大切なもの]]|[[★×5>難易度表/おに/大切なもの]]|
||''12/58''|''ルパン三世のテーマ'78''|138|[[★×5>難易度表/かんたん/ルパン三世のテーマ '78]]|[[★×5>難易度表/ふつう/ルパン三世のテーマ '78]]|[[★×5>難易度表/むずかしい/ルパン三世のテーマ '78]]&br;SIZE(10){譜面分岐あり}|[[★×5>難易度表/おに/ルパン三世のテーマ '78]]|
|''新''|''13/58''|''チャレンジャー!!''&br;　　SIZE(11){ポケットモンスターAGより}|170|[[★×4>難易度表/かんたん/チャレンジャー!!]]|[[★×3>難易度表/ふつう/チャレンジャー!!]]|[[★×4>難易度表/むずかしい/チャレンジャー!!]]|[[★×5>難易度表/おに/チャレンジャー!!]]|
|''新''|''14/58''|''上海ハニー''|140|[[★×4>難易度表/かんたん/上海ハニー]]|[[★×5>難易度表/ふつう/上海ハニー]]|[[★×4>難易度表/むずかしい/上海ハニー]]|[[★×6>難易度表/おに/上海ハニー]]|
||''15/58''|''交響曲第五番「運命」''|189※|[[★×5>難易度表/かんたん/交響曲第五番「運命」]]|[[★×5>難易度表/ふつう/交響曲第五番「運命」]]|[[★×5>難易度表/むずかしい/交響曲第五番「運命」]]|[[★×6>難易度表/おに/交響曲第五番「運命」]]|
||''16/58''|''タッチ''|160|[[★×3>難易度表/かんたん/タッチ]]|[[★×4>難易度表/ふつう/タッチ]]|[[★×5>難易度表/むずかしい/タッチ]]|[[★×6>難易度表/おに/タッチ]]|
|''新''|''17/58''|''おもちゃのチャチャチャ''|120|[[★×2>難易度表/かんたん/おもちゃのチャチャチャ]]|[[★×3>難易度表/ふつう/おもちゃのチャチャチャ]]|[[★×3>難易度表/むずかしい/おもちゃのチャチャチャ]]|[[★×6>難易度表/おに/おもちゃのチャチャチャ]]|
