[[AC限定収録曲/AC12〜14]]

-ここにある曲のほとんどが復活すると歓声を受ける曲だな。 --  &new{2012-05-23 (水) 17:56:01};
-ビフォーアフターはごうか版に収録決定だよね --  &new{2012-09-02 (日) 14:41:20};
-響けの裏やりたいな〜・・・ --  &new{2012-09-20 (木) 18:05:28};
-ブンパとAC14にあった残天裏を消しました --  &new{2012-11-29 (木) 00:09:27};
-パパマママックショートVerはiOS移植実現したので削除 --  &new{2012-12-06 (木) 00:12:22};
-366日はiOS移植により削除 --  &new{2013-08-01 (木) 13:18:54};
-愛をこめて花束をはiOS移植により削除 --  &new{2013-10-31 (木) 16:03:38};
-パパマママックショートVerは現在iOSで遊べないので、戻しました。 --  &new{2013-11-03 (日) 09:02:44};
-このページではありませんが、AC11にあったROCKET DIVEはiOS移植により削除。 --  &new{2013-12-26 (木) 16:42:15};
-ピラメキたいそうは、AC13、14と収録なので★を撤去しました。 --  &new{2014-02-20 (木) 14:38:15};
-ビフォーアフターはCSと譜面が違うので該当の欄を作り追加しました。 --  &new{2014-04-01 (火) 12:44:26};
-↑追記青葉も追加 --  &new{2014-04-01 (火) 12:51:39};
-★を▲に変更 --  &new{2014-04-09 (水) 22:26:54};
-AC12限定曲にLovin' Lifeが抜けていたので追加。 --  &new{2016-12-31 (土) 20:09:51};
-DLできなくなってる曲が増えてたので一気に追加 --  &new{2018-11-18 (日) 16:48:15};
-AC7〜11のページのCSに収録されたことがあるが、CSに収録されていない譜面がある曲に決意の朝にのかんたん〜むずかしいを追加 --  &new{2018-12-11 (火) 16:36:23};
-AC7〜11のページから三日月を削除 --  &new{2020-05-14 (木) 03:11:01};
-俺ら東京さ行ぐだってそもそもCS入ってたっけ --  &new{2022-01-03 (月) 14:49:39};
