|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#f30):COLOR(#111):''かん&br;たん''|BGCOLOR(#8c2):COLOR(#111):''ふつう''|BGCOLOR(#3ab):COLOR(#111):''むず&br;かしい''|BGCOLOR(gold):''ドン&br;だフル！''|h
||''1/54''|''アンパンマンのマーチ''|96.05※|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|[[★×4>難易度表/むずかしい/アンパンマンのマーチ]]|[[★×3>難易度表/おに/アンパンマンのマーチ]]|
||''2/54''|''ドラえもんのうた''|123|[[★×1>難易度表/かんたん/ドラえもんのうた]]|[[★×1>難易度表/ふつう/ドラえもんのうた]]|[[★×2>難易度表/むずかしい/ドラえもんのうた]]|[[★×4>難易度表/おに/ドラえもんのうた]]|
|''新''|''3/54''|''北酒場''|137|[[★×3>難易度表/かんたん/北酒場]]|[[★×2>難易度表/ふつう/北酒場]]|[[★×2>難易度表/むずかしい/北酒場]]|[[★×4>難易度表/おに/北酒場]]|
|''新''|''4/54''|''なんでだろう''&br;　　SIZE(11){両さんバージョン}|167※|[[★×2>難易度表/かんたん/なんでだろう　両さんバージョン]]|[[★×3>難易度表/ふつう/なんでだろう　両さんバージョン]]|[[★×3>難易度表/おに/なんでだろう　両さんバージョン]]|[[★×2>難易度表/おに/なんでだろう　両さんバージョン]]|
||''5/54''|''ハム太郎とっとこうた''|140|[[★×2>難易度表/かんたん/ハム太郎とっとこうた]]|[[★×2>難易度表/ふつう/ハム太郎とっとこうた]]|[[★×4>難易度表/むずかしい/ハム太郎とっとこうた]]|[[★×5>難易度表/おに/ハム太郎とっとこうた]]|
||''6/54''|''タッチ''|161|[[★×3>難易度表/かんたん/タッチ]]|[[★×4>難易度表/ふつう/タッチ]]|[[★×5>難易度表/むずかしい/タッチ]]|[[★×6>難易度表/おに/タッチ]]|
||''7/54''|''ドラえもん音頭''|112|[[★×1>難易度表/かんたん/ドラえもん音頭]]|[[★×1>難易度表/ふつう/ドラえもん音頭]]|[[★×1>難易度表/むずかしい/ドラえもん音頭]]|[[★×2>難易度表/おに/ドラえもん音頭]]&br;SIZE(10){譜面分岐あり}|
|''新''|''8/54''|''もりのくまさん''|120|[[★×1>難易度表/かんたん/もりのくまさん]]|[[★×1>難易度表/ふつう/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|
||''9/54''|''シーソーゲーム''&br;　　SIZE(11){〜勇敢な恋の歌〜}|135|[[★×5>難易度表/かんたん/シーソーゲーム]]|[[★×2>難易度表/ふつう/シーソーゲーム]]|[[★×3>難易度表/むずかしい/シーソーゲーム]]&br;SIZE(10){譜面分岐あり}|[[★×5>難易度表/おに/シーソーゲーム]]|
|''新''|''10/54''|''六甲おろし''|112|[[★×1>難易度表/かんたん/六甲おろし]]|[[★×1>難易度表/ふつう/六甲おろし]]|[[★×3>難易度表/むずかしい/六甲おろし]]|[[★×7>難易度表/おに/六甲おろし]]|
|''新''|''11/54''|''UFO''|164|[[★×4>難易度表/かんたん/UFO]]|[[★×2>難易度表/ふつう/UFO]]|[[★×3>難易度表/おに/UFO]]|[[★×2>難易度表/おに/UFO]]|
|''新''|''12/54''|''明日への扉''|87|[[★×2>難易度表/かんたん/明日への扉]]|[[★×1>難易度表/ふつう/明日への扉]]|[[★×2>難易度表/むずかしい/明日への扉]]|[[★×4>難易度表/おに/明日への扉]]|
|''新''|''13/54''|''VALENTI''|103|[[★×2>難易度表/かんたん/VALENTI]]|[[★×2>難易度表/ふつう/VALENTI]]|[[★×3>難易度表/むずかしい/VALENTI]]|[[★×5>難易度表/おに/VALENTI]]|
|''新''|''14/54''|''GOODBYE 夏男''|159|[[★×4>難易度表/かんたん/GOOD BYE 夏男]]|[[★×4>難易度表/ふつう/GOOD BYE 夏男]]|[[★×3>難易度表/むずかしい/GOOD BYE 夏男]]|[[★×8>難易度表/おに/GOOD BYE 夏男]]|
|''新''|''15/54''|''爆竜戦隊アバレンジャー''|163|[[★×2>難易度表/かんたん/爆竜戦隊アバレンジャー]]|[[★×2>難易度表/ふつう/爆竜戦隊アバレンジャー]]|[[★×3>難易度表/むずかしい/爆竜戦隊アバレンジャー]]|[[★×6>難易度表/おに/爆竜戦隊アバレンジャー]]|
|''新''|''16/54''|''CHA-LA HEAD-CHA-LA''|154|[[★×3>難易度表/かんたん/CHA-LA HEAD-CHA-LA]]|[[★×4>難易度表/ふつう/CHA-LA HEAD-CHA-LA]]|[[★×4>難易度表/むずかしい/CHA-LA HEAD-CHA-LA]]|[[★×7>難易度表/おに/CHA-LA HEAD-CHA-LA]]|
|''新''|''17/54''|''エレクトリカルパレード''&br;　　SIZE(11){BAROQUE HOEDOWN}|75-126|[[★×2>難易度表/かんたん/エレクトリカルパレード]]|[[★×4>難易度表/ふつう/エレクトリカルパレード]]|[[★×3>難易度表/むずかしい/エレクトリカルパレード]]|[[★×9>難易度表/おに/エレクトリカルパレード]]|
|''新''|''18/54''|''ヒカリへ''&br;　　SIZE(11){ワンピースより}|188|[[★×5>難易度表/かんたん/ヒカリへ]]|[[★×4>難易度表/ふつう/ヒカリへ]]|[[★×4>難易度表/むずかしい/ヒカリへ]]|[[★×8>難易度表/おに/ヒカリへ]]|
||''19/54''|''ミニモニ。テレフォン！リンリンリン''|150|[[★×3>難易度表/かんたん/ミニモニ。テレフォン！リンリンリン]]|[[★×2>難易度表/ふつう/ミニモニ。テレフォン！リンリンリン]]|[[★×5>難易度表/むずかしい/ミニモニ。テレフォン！リンリンリン]]|[[★×5>難易度表/おに/ミニモニ。テレフォン！リンリンリン]]|
||''20/54''|''クラシックメドレー（運動会編）''|70-160|[[★×5>難易度表/かんたん/クラシックメドレー(運動会編)]]|[[★×5>難易度表/ふつう/クラシックメドレー(運動会編)]]|[[★×6>難易度表/おに/クラシックメドレー(運動会編)]]|[[★×5>難易度表/おに/クラシックメドレー(運動会編)]]|
|''新''|''21/54''|''平成太鼓街道''&br;　　SIZE(11){〜バチの女〜}|100※|-|[[★×4>難易度表/ふつう/平成太鼓街道〜バチの女〜]]|[[★×4>難易度表/むずかしい/平成太鼓街道〜バチの女〜]]&br;SIZE(10){譜面分岐あり}|[[★×5>難易度表/おに/平成太鼓街道〜バチの女〜]]|
|''新''|''22/54''|''ね〜え？''|169|[[★×2>難易度表/かんたん/ね〜え？]]|[[★×3>難易度表/ふつう/ね〜え？]]|[[★×3>難易度表/むずかしい/ね〜え？]]|[[★×3>難易度表/おに/ね〜え？]]|
|''新''|''23/54''|''DIAMONDS -ダイアモンド-''|111|[[★×3>難易度表/かんたん/DIAMONDS -ダイアモンド-]]|[[★×3>難易度表/ふつう/DIAMONDS -ダイアモンド-]]|[[★×3>難易度表/むずかしい/DIAMONDS -ダイアモンド-]]|[[★×6>難易度表/おに/DIAMONDS -ダイアモンド-]]|
|''新''|''24/54''|''My Revolution''|129|[[★×4>難易度表/かんたん/My Revolution]]|[[★×3>難易度表/ふつう/My Revolution]]|[[★×2>難易度表/むずかしい/My Revolution]]|[[★×6>難易度表/おに/My Revolution]]|
|''新''|''25/54''|''大切なもの''|205|[[★×5>難易度表/かんたん/大切なもの]]|[[★×5>難易度表/ふつう/大切なもの]]|[[★×5>難易度表/むずかしい/大切なもの]]|[[★×5>難易度表/おに/大切なもの]]|
||''26/54''|''TRAIN-TRAIN''|166-195※|[[★×3>難易度表/かんたん/TRAIN-TRAIN]]|[[★×3>難易度表/ふつう/TRAIN-TRAIN]]|[[★×5>難易度表/むずかしい/TRAIN-TRAIN]]|[[★×7>難易度表/おに/TRAIN-TRAIN]]|
||''27/54''|''おどるポンポコリン''|140|[[★×4>難易度表/かんたん/おどるポンポコリン]]|[[★×4>難易度表/ふつう/おどるポンポコリン]]|[[★×2>難易度表/むずかしい/おどるポンポコリン]]|[[★×2>難易度表/おに/おどるポンポコリン]]|
